"amt_ICU beds needed|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_ICU beds needed|Mitigated",epi_week,"amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated","amt_New Deaths|Mitigated","range_New Deaths|Mitigated","amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated"
76.4742293031048,2020-03-19,"Total Infectious per 10,000|Mitigated",80802,8719,34.0052194350789|107.020877740316,2020-12,331.518227489058,134.790823288649|457.04697491571,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0
406.458050881733,2020-03-30,"Hospital beds needed|Mitigated",80802,8719,235.041755480631|522.015658305237,2020-14,1757.90250206667,1071.13662807899|2161.49048570153,42.9036655822416,28.6483897441918|53.1131141078375,276.860744835855,165.156363497081|343.505033219798,14145.6193567044,10498.8972142417|16521.9182203383,143054.919865134,97465.8160599555|170038.756761127,0.000324805933643549,0.000241071389375622|0.000379369537509569,0.00328476863666458,0.00223797025675514|0.00390436047745126,0.00985136444348464,0.00657812623371367|0.0121956163116577,0.0635716333431788,0.0379225295762098|0.078874222621673,3.24805933643549,2.41071389375622|3.79369537509569,32.8476863666458,22.3797025675515|39.0436047745126
447.170659986465,2020-03-31,"Hospital beds needed|Mitigated",80802,8719,276.073072091105|565.356629532862,2020-14,1926.93401268559,1228.4510346849|2330.88637448906,46.235360134104,29.9746030730646|56.4450943430586,323.09610496996,195.130966570146|396.559004339663,14050.2157518135,10492.6785167935|16283.344224366,157105.135616948,107958.494576749|186286.697869718,0.000322615315037311,0.000240928598184952|0.000373891498863765,0.00360738395170189,0.0024788988549401|0.00427743906443162,0.0106163745375955,0.00688264592113964|0.0129606920032144,0.0741880078807743,0.0448051754973495|0.0910562587620124,3.22615315037311,2.40928598184952|3.73891498863765,36.0738395170189,24.788988549401|42.7743906443162
486.651929122102,2020-04-01,"Hospital beds needed|Mitigated",80802,8719,311.289608048937|611.361848967941,2020-14,2088.92049967205,1385.20571552444|2517.20617730835,49.2217406887074,34.3985719833833|59.6912549283839,372.317845658667,229.850908973335|456.250259268047,13994.3257076527,10383.8263666762|16174.0486429925,171099.4613246,118342.320943425|202460.74651271,0.000321331990672555,0.000238429179576519|0.000371381898367953,0.00392871594237445,0.00271732803451662|0.00464882096279957,0.0113020950421509,0.00789845959185393|0.0137060621373074,0.0854901029229252,0.0527774268523056|0.10476232089932,3.21331990672555,2.38429179576519|3.71381898367953,39.2871594237445,27.1732803451662|46.4882096279957
523.398407292871,2020-04-02,"Hospital beds needed|Mitigated",80802,8719,328.15267225659|652.458825403413,2020-14,2239.31175183209,1498.39296079348|2701.78876369792,52.1251055681235,36.6070449816659|63.9567398278626,424.442951226791,266.458543667485|518.542061802899,13918.280041976,10478.8534096124|15944.6402164959,185017.741366577,128821.174353038|218209.787634152,0.000319585861159467,0.000240611151720966|0.000366114315784614,0.00424830180353392,0.00295793918623758|0.00501044401205942,0.0119687538264619,0.00840556014082619|0.0146854853568082,0.0974588567493872,0.0611831224005036|0.119065510155634,3.19585861159467,2.40611151720966|3.66114315784614,42.4830180353392,29.5793918623758|50.1044401205942
558.357017670173,2020-04-03,"Hospital beds needed|Mitigated",80802,8719,370.844035610718|692.242633133227,2020-14,2377.57298697618,1636.13481654072|2884.95462074153,54.8016063787849,39.8303329560178|65.6519161643923,479.244557605575,306.532249673278|580.772352149753,13875.194529178,10590.6034483038|16092.3993685262,198892.935895755,139489.188781782|234141.405295823,0.00031859654921363,0.000243177110463145|0.000369507101078729,0.00456689835274755,0.00320289377601374|0.00537625930925943,0.0125833210099713,0.00914567835941462|0.0150747248229585,0.110042177759358,0.0703846830855081|0.133354575234597,3.1859654921363,2.43177110463145|3.69507101078729,45.6689835274755,32.0289377601374|53.7625930925944
592.251354203763,2020-04-04,"Hospital beds needed|Mitigated",80802,8719,404.141215415152|735.036536045552,2020-14,2507.26080234667,1734.62676940562|3000.05900738144,57.0895923708372,40.8668295697541|68.5343169573757,536.334149976412,349.44445502611|647.05005483554,13817.8646846532,10543.9453221756|15890.1351678308,212710.800580408,150033.134103958|250031.540463654,0.000317280164741026,0.000242105765629315|0.000364862793120706,0.00488417851748857,0.00344499954164305|0.00574112210238014,0.0131086790077883,0.00938367447810944|0.0157365699193743,0.123150856767146,0.0802380083962334|0.148572990602464,3.17280164741026,2.42105765629315|3.64862793120706,48.8417851748857,34.4499954164305|57.4112210238014
623.826856775595,2020-04-05,"Hospital beds needed|Mitigated",80802,8719,428.140924747131|765.485266266454,2020-15,2626.41851332645,1842.13724613157|3151.29120164451,59.3291562852231,43.1218117076131|70.7726305551664,595.663306261635,395.244371419175|716.924413366093,13764.2279762726,10659.8741920498|15748.7694497791,226475.02855668,160731.364927885|265667.49851077,0.000316048580552039,0.000244767676986195|0.000361616811246096,0.00520022709804061,0.00369064794794298|0.00610014858427807,0.0136229185259199,0.00990145426573654|0.0162505223449165,0.136773775293066,0.0907543981206573|0.164617255394237,3.16048580552039,2.44767676986195|3.61616811246096,52.0022709804061,36.9064794794298|61.0014858427807
652.042801060581,2020-04-06,"Hospital beds needed|Mitigated",80802,8719,460.017507448618|803.078291526184,2020-15,2733.6136321048,1913.96335237027|3269.33295712514,61.3655278235978,46.6995029843818|72.6123920942854,657.028834085235,442.56365212275|789.317580813793,13715.5098154164,10690.300451527|15495.1603847801,240190.538372096,171421.665379412|281063.324487635,0.000314929934042243,0.000245466312328175|0.000355793543486638,0.00551515703208285,0.00393611426027116|0.00645366125166505,0.0140905018406465,0.0107229491230038|0.0166729608747019,0.150864277133713,0.101619658071952|0.181239878801052,3.14929934042243,2.45466312328175|3.55793543486638,55.1515703208285,39.3611426027116|64.5366125166505
679.031826112344,2020-04-07,"Hospital beds needed|Mitigated",80802,8719,496.182970895783|831.078291526184,2020-15,2832.94542068307,2026.31175187108|3352.28688723141,63.171553947798,48.6219030741453|73.3700227540164,720.200388033032,492.907270027535|859.641398884258,13675.1416648338,10808.4695256019|15558.7526947493,253865.680036931,182372.682458686|296622.077182385,0.000314003017057641,0.000248179662338862|0.000357253724132762,0.0058291600491405,0.00418756704131141|0.00681091497579781,0.0145051941822565,0.0111643627792366|0.0168469249321147,0.16536947131597,0.113179353977956|0.197387346656484,3.14003017057641,2.48179662338862|3.57253724132762,58.291600491405,41.8756704131141|68.1091497579781
704.775096013141,2020-04-08,"Hospital beds needed|Mitigated",80802,8719,518.652578857|857.078291526184,2020-15,2923.72475980051,2112.89096796895|3452.02033269689,64.8400932084808,49.4724490047457|76.2068079596452,785.040481241512,542.379719032281|933.680323198761,13623.4707901239,10880.198219535|15392.7905086068,267489.150827054,193506.151720839|311746.726314175,0.000312816571538423,0.000249826667310118|0.00035344296820471,0.00614197662067892,0.00444320921484915|0.0071582009912351,0.0148883173518547,0.0113596616616178|0.0174982959636869,0.180257788667824,0.124539015639573|0.214387862032673,3.12816571538423,2.49826667310118|3.5344296820471,61.4197662067892,44.4320921484915|71.582009912351
727.937857532296,2020-04-09,"Hospital beds needed|Mitigated",80802,8719,539.214287506257|902.176629620582,2020-15,3005.25917223497,2214.52386538137|3517.78813843382,66.2778803752079,51.9712502784222|77.5657629167457,851.318361616719,597.197335976304|1008.44018787498,13570.8145214755,10813.2507341773|15272.5871403486,281059.96534853,204547.939098884|326701.184863644,0.00031160749980609,0.000248289446497203|0.000350682907561927,0.00645358412048501,0.00469674622641306|0.0075015791600384,0.015218456168186,0.0119334262032895|0.0178103336500477,0.19547624483601,0.137126012930137|0.231553916789912,3.1160749980609,2.48289446497203|3.50682907561927,64.5358412048501,46.9674622641306|75.015791600384
749.191228736793,2020-04-10,"Hospital beds needed|Mitigated",80802,8719,559.462140074563|901.083510961263,2020-15,3081.49855555377,2273.80303456015|3639.48472122303,67.6400602448095,53.2441357377959|80.9479497747227,918.958421861529,651.542472470673|1085.46670823702,13517.1244387862,10843.4416155836|15231.617843647,294577.089787316,215826.422153535|341932.802707291,0.000310374690058028,0.000248982677184062|0.00034974218730569,0.00676395881054303,0.00495571814742071|0.00785132134734409,0.0155312343457825,0.012225700963148|0.0185869375812439,0.211007479181793,0.149604521189779|0.249240431767178,3.10374690058028,2.48982677184062|3.4974218730569,67.6395881054303,49.5571814742071|78.5132134734409
