date,hosp_admits,hosp_admits_l20,hosp_admits_l5,hosp_admits_u80,hosp_admits_u95,state
2023-09-30,2187.71297686504,2151.08937810699,2126.84840912218,2223.58832499942,2242.61336222763,California
2023-10-01,2202.37796498236,2145.00528718246,2119.54329854321,2254.34868467785,2277.24097649797,California
2023-10-02,2216.97680034072,2149.16216213484,2112.4458281796,2278.55704543149,2310.94243071285,California
2023-10-03,2231.49089906978,2151.64272375462,2116.36068585811,2302.42325951975,2339.88813780117,California
2023-10-04,2245.90137665126,2159.31527609214,2120.80579554767,2326.63731908271,2367.3721577142,California
2023-10-05,2260.18917615895,2170.87397605809,2117.97923154288,2346.86311303992,2393.63823374362,California
2023-10-06,2274.33520391954,2177.60072115318,2125.99879680471,2369.50481894786,2412.5428458252,California
2023-10-07,2288.32047071657,2188.04063934178,2126.06889717631,2390.81490893386,2440.27608879033,California
2023-10-08,2302.12623642793,2196.68409719216,2126.68734517137,2408.78351529252,2460.01239692848,California
2023-10-09,2315.73415580546,2201.95738994171,2132.48764358119,2426.05833505495,2481.49612132906,California
2023-10-10,2329.12642298284,2205.17769753117,2144.63519902694,2445.97519131917,2503.90498118159,California
2023-10-11,2342.28591224299,2217.31182975789,2146.01555149824,2462.71392862489,2517.96976659886,California
2023-10-12,2355.19631259449,2221.69015258414,2135.0190763866,2477.94015392404,2539.28401485653,California
2023-10-13,2367.84225379887,2234.26610925413,2155.34671756763,2496.34887707525,2548.49667845709,California
2023-10-14,2380.20942165643,2243.08736222451,2166.23613966886,2511.74271485634,2564.12663537415,California
2023-10-15,2392.28466059201,2256.90651576998,2174.23771311594,2520.97872855429,2579.09749816688,California
2023-10-16,2404.05606187563,2265.94767697519,2183.3916608893,2534.22559490757,2596.34149066094,California
2023-10-17,2415.51303615497,2269.34078342047,2198.49298600033,2546.01723875185,2602.84566041398,California
2023-10-18,2426.64636935418,2277.5672778177,2205.72111942839,2555.51310532738,2620.13482235111,California
2023-10-19,2437.44826139099,2290.03483633668,2206.14992962481,2567.59853998405,2630.72619521309,California
2023-10-20,2447.91234756706,2307.99735388086,2228.97725807485,2577.40215296312,2640.78097258001,California
2023-10-21,2458.03370287929,2308.03583626465,2236.24969269664,2591.58923168717,2649.37609632044,California
2023-10-22,2467.80882986802,2318.45245629983,2240.88697396157,2595.21205660835,2649.81693674676,California
2023-10-23,2477.2356309509,2332.09888315295,2247.19667358992,2606.36681620329,2663.97389320495,California
2023-10-24,2486.31336647695,2336.44329509854,2256.46886820893,2615.82802194478,2676.57141962225,California
2023-10-25,2495.04259996874,2344.77336834387,2251.3263901039,2620.63725713732,2682.62255019988,California
2023-10-26,2503.42513219575,2351.02408125679,2261.52552062427,2625.60938474082,2687.51361451476,California
2023-10-27,2511.46392583896,2361.52356556934,2268.98635650576,2634.20147862733,2695.8052060406,California
2023-10-28,2519.1630225656,2373.73828795547,2283.9292133199,2634.89146259147,2702.11113672195,California
2023-10-29,2526.52745433791,2381.30043005736,2301.32212385888,2639.31454965954,2703.842264626,California
2023-10-30,2533.56315073594,2386.30481489783,2307.70251810533,2647.33337972918,2716.06928228035,California
2023-10-31,2540.27684398886,2395.63159469361,2314.70549290055,2656.72481503953,2720.71917932475,California
2023-11-01,2546.67597328876,2397.8231744735,2314.06669647619,2661.28198968544,2724.00487124969,California
