date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-02-25,CA,0,2.47957642242207,2.47397801561401,2.10575706911568,2.81859424688947,163.572316120007,0,0,0,0,,,
2020-02-26,CA,1,2.47640932526795,2.46629585333441,2.12324975265792,2.78195959945463,2.91425719856476,0,0,0,0,,,
2020-02-27,CA,2,2.47096691978013,2.45080533655878,2.15823760788392,2.79555551554309,41.3401299108912,0,0,0,0,,,
2020-02-28,CA,3,2.46239663578768,2.44557373702124,2.17473151905144,2.77803001885499,79.0579121195478,0,0,0,0,,,
2020-02-29,CA,4,2.45244016338188,2.43533846274561,2.15156795922349,2.71362227133077,90.3747225675656,0,0,0,0,,,
2020-03-01,CA,5,2.43835048147915,2.43828282835627,2.15037864769325,2.66594355905372,103.593216815259,0,0,0,0,,,
2020-03-02,CA,6,2.41847118708625,2.41370258537225,2.1938595153201,2.66742930375538,126.700347737678,12.1673773161253,0,0,0,,,
2020-03-03,CA,7,2.40023145080559,2.39089947767731,2.16280594816792,2.61633919617061,155.017926696733,19.0051101295356,0,0,0,,,
2020-03-04,CA,8,2.37138038076435,2.36344778351066,2.15939823217175,2.57755662322973,187.687268490813,24.4640012644301,0,0,0,0,0,0
2020-03-05,CA,9,2.33681494069331,2.3309246570495,2.12533115368987,2.52298627251973,226.74587715756,31.3217085712476,0,0,0,0,0,0
2020-03-06,CA,10,2.30407079959868,2.29293222950098,2.07518455814784,2.47384878387936,273.609879365779,40.6486732072186,22.6721038803711,7,7,7,7,0
2020-03-07,CA,11,2.25973109281432,2.25887953815624,2.06377279613118,2.43137842410946,329.111196720429,50.3793426832012,29.1498478461914,9,9,9,9,0
2020-03-08,CA,12,2.20884879201874,2.19881634196501,2.03187160353719,2.38466510001027,394.419473272731,63.4607012185959,61.538567675293,19,19,19,19,0
2020-03-09,CA,13,2.15694613900853,2.14945208741922,1.98238449645292,2.31376026008846,470.699120458962,76.8123212212641,84.2106715556641,26,254,254,26,0
2020-03-10,CA,14,2.09514537938052,2.09079237670412,1.91225096400101,2.23006848855348,558.840044406248,93.7827327002703,61.538567675293,19,19,19,19,0
2020-03-11,CA,15,2.02938304505154,2.02215864540085,1.88715110213607,2.19326233075452,659.726444910801,115.132777070895,77.7329275898438,24,250,250,24,0
2020-03-12,CA,16,1.96910359696975,1.97207705615245,1.79687345147446,2.08998792718916,773.803675624823,139.251419783129,145.749239230957,45,45,45,45,4
2020-03-13,CA,17,1.90531356900967,1.89837983593887,1.76361312156853,2.05229895077713,901.031501124042,168.868027134633,0,0,0,0,0,0
2020-03-14,CA,18,1.83702997567598,1.83692166365584,1.68836465225531,1.96518576319288,1041.63919903263,204.117819332139,161.943599145508,50,50,50,50,1
2020-03-15,CA,19,1.76553378264908,1.7654280490136,1.62980583966771,1.89131125619882,1195.40662020334,246.67110253507,132.793751299316,41,41,41,41,0
2020-03-16,CA,20,1.69728387204101,1.69482816258744,1.58237045753949,1.82714932670299,1360.57763879193,295.950493005313,136.032623282227,42,7107,7107,42,1
2020-03-17,CA,21,1.63063102763434,1.63243897010347,1.53093217750343,1.7562006685163,1535.51114010195,354.146597441958,479.353053470703,148,148,148,148,5
2020-03-18,CA,22,1.56554277650919,1.56456171766997,1.45553827816231,1.6742306153917,1717.44633532268,422.135724229146,414.5756138125,128,128,128,128,2
2020-03-19,CA,23,1.50183524846403,1.49574674085625,1.39549000204154,1.59780497329268,1904.03388144058,500.692034077365,1013.76693065088,313,1119,1119,313,5
2020-03-20,CA,24,1.43844502523248,1.43516177556507,1.32914009930765,1.52453896144083,2092.37844091993,590.578049416186,450.203205624512,139,1776,1776,139,2
2020-03-21,CA,25,1.38191352452025,1.38047008954639,1.27848272744837,1.47364788894846,2278.89465550253,692.749391686733,699.596348308594,216,1041,1041,216,4
2020-03-22,CA,26,1.33000045053901,1.32739993643641,1.22264112633203,1.40954608550281,2459.53855199539,807.372341882991,832.39009960791,257,312,312,257,3
2020-03-23,CA,27,1.28141715995213,1.28128738050783,1.18200836465311,1.36669845834944,2631.29528354722,934.668966037087,598.094471408237,197,13560,1460,197,0
2020-03-24,CA,28,1.23582182223589,1.23531696855694,1.14266111014125,1.32282508558482,2792.19307154664,1074.55028823737,1195.14376169385,369,1254,1254,369,13
2020-03-25,CA,29,1.1935478047653,1.19036388253556,1.10165631485629,1.27213066543679,2940.15423624293,1226.49867494428,265.554727414042,253,39222,2722,253,13
2020-03-26,CA,30,1.15630504482683,1.15073027362465,1.0596763281789,1.22528179787455,3072.9818716644,1389.33488484452,2108.50566087451,651,10910,2110,651,12
2020-03-27,CA,31,1.12324179458533,1.11798206561036,1.01614440580007,1.18146080985294,3188.95206686181,1561.77378393996,2827.53524108057,873,873,873,873,13
2020-03-28,CA,32,1.09128602049637,1.08699041542634,1.01177811254472,1.16601288793498,3287.49211280367,1741.82308325944,2474.49819494336,764,10933,3933,764,23
2020-03-29,CA,33,1.06329659349324,1.06117937987685,0.976212532425811,1.12728533880677,3368.83882065893,1927.45456291231,3449.39866179932,1065,1065,1065,1065,22
2020-03-30,CA,34,1.03824590759992,1.03422327803545,0.966346045611066,1.11158775756078,3432.74200301628,2116.11122634065,2393.5263953706,739,739,739,739,10
2020-03-31,CA,35,1.01582976305089,1.01647158073563,0.948548244057098,1.095058795821,3479.34701933476,2305.3497106396,3352.23250231201,1035,0,2258,1035,20
2020-04-01,CA,36,0.99806867418175,0.995204434068681,0.929089380047542,1.07248019205599,3509.62885802049,2492.49505396944,2179.76084449854,673,673,673,673,18
2020-04-02,CA,37,0.979568138358566,0.97833779653157,0.915621327413994,1.05291025561981,3524.84704326786,2675.06230002577,3355.47137429492,1036,5173,3073,1036,32
2020-04-03,CA,38,0.963659087433926,0.960420935423048,0.888791348215276,1.01954899248692,3526.89720412456,2850.52251051522,4890.69669419434,1510,2300,2300,1510,34
2020-04-04,CA,39,0.946579576499768,0.943799247546201,0.880542026822023,1.0140547439732,3516.76278616133,3016.74145860493,1709.96982445011,1325,31900,78400,1325,39
2020-04-05,CA,40,0.932286202952563,0.928044638556984,0.861333318992598,1.00232411215415,3495.00283088897,3171.74955953938,4573.28723986914,1412,4833,2833,1412,43
2020-04-06,CA,41,0.919231203154027,0.915010348462076,0.850166202738551,0.988399965283955,3461.94450763284,3313.96369185397,2908.50704065332,898,898,898,898,24
2020-04-07,CA,42,0.905813180098278,0.905315709471994,0.821895673312316,0.967584837650358,3418.4646779956,3442.05485977505,4880.32072748072,1529,12898,13798,1529,31
2020-04-08,CA,43,0.895004881127761,0.894880238692914,0.812897634821227,0.963581263829514,3366.07308777112,3555.14782569442,3321.44931537409,1092,13535,13035,1092,68
2020-04-09,CA,44,0.883837600406424,0.883609947348153,0.803807185481697,0.948902336267251,3305.5788191439,3652.62492985939,2970.72920116429,1352,18736,19236,1352,50
2020-04-10,CA,45,0.873120821043337,0.872911912161063,0.802544483816137,0.941759893549948,3238.14810333975,3734.41964196756,3766.80811612451,1163,1163,1363,1163,49
2020-04-11,CA,46,0.862499757017323,0.861614963317445,0.793452398566073,0.930942371590723,3164.9101212553,3800.57442149668,3702.03067646631,1143,7656,8356,1143,68
2020-04-12,CA,47,0.851135328972627,0.847224623455998,0.792904156574877,0.926694429236559,3086.42003975126,3851.3194097969,2836.95488944033,1179,17109,17109,1179,42
2020-04-13,CA,48,0.843727456272579,0.840907223669771,0.776678057147979,0.903757557314098,3003.11759273124,3886.95762387879,1794.33507853223,554,554,554,554,36
2020-04-14,CA,49,0.837173726046024,0.835017177724993,0.766785712146689,0.893076774371771,2915.31327881568,3908.07279894663,3206.48326308106,990,11326,11326,990,71
2020-04-15,CA,50,0.831152419524163,0.831144715688597,0.764766101849182,0.887906452985429,2824.38968421268,3915.27968120934,3131.30736117869,1086,14278,14278,1086,63
2020-04-16,CA,51,0.82828880482433,0.824466880129668,0.764862971620573,0.888131522341644,2732.08404904352,3909.33398327901,2419.39975726963,1758,29914,29914,1758,69
2020-04-17,CA,52,0.828924006625643,0.828467631584819,0.764900753580474,0.886275214873497,2639.34981345851,3891.09304413634,4359.52168899707,1346,0,5214,1346,95
2020-04-18,CA,53,0.827752442123441,0.826030323135147,0.777939836565083,0.903390920612343,2547.38394621861,3861.40919792441,4647.78129547608,1435,8052,8052,1435,87
2020-04-19,CA,54,0.827393962038968,0.827692862486403,0.769648983718855,0.891860343194807,2457.94429701902,3821.18786481661,2656.14638104226,1370,21234,21234,1370,94
2020-04-20,CA,55,0.829270078452993,0.828720755638521,0.768020704578479,0.890021545315285,2371.54466720323,3771.26034756002,2089.07242897705,645,2400,9600,645,42
2020-04-21,CA,56,0.832918702613754,0.829024029399113,0.767034172021396,0.892865295784951,2287.93396197392,3712.5097732969,7394.34473698389,2283,9600,9600,2283,60
2020-04-22,CA,57,0.837138897347225,0.835146448129501,0.775299697059969,0.903288783374036,2207.60612906379,3645.84242483032,0,0,0,165227,2135,86
2020-04-23,CA,58,0.842173539026874,0.838362247249588,0.776779254636166,0.90709856428217,2131.35544228929,3572.32002578528,4843.47735917093,1973,16770,16770,1973,115
2020-04-24,CA,59,0.848667803297614,0.848465067730677,0.778771700277701,0.907677440162679,2059.58203043442,3493.00444977344,6105.27368778565,1885,12076,12076,1885,93
