date,hosp_admits,hosp_admits_l20,hosp_admits_l5,hosp_admits_u80,hosp_admits_u95,state
2023-09-30,2154.20384048878,2120.55727546497,2102.74585984785,2187.85040551258,2205.6618211297,California
2023-10-01,2143.83073598875,2099.37824941012,2075.8465244597,2188.28322256738,2211.8149475178,California
2023-10-02,2135.53225238873,2078.12612127828,2047.73715112767,2192.93838349918,2223.3273536498,California
2023-10-03,2128.89346550872,2057.67904248125,2019.98040413352,2200.10788853618,2237.80652688391,California
2023-10-04,2123.5824360047,2038.36768718953,1993.25772405416,2208.79718481988,2253.90714795525,California
2023-10-05,2119.33361240149,2020.26777140086,1967.82548297488,2218.39945340212,2270.8417418281,California
2023-10-06,2115.93455351892,2003.34484815314,1943.74345838095,2228.52425888471,2288.1256486569,California
2023-10-07,2113.21530641287,1987.51902615019,1920.97943473274,2238.91158667555,2305.45117809301,California
2023-10-08,2111.03990872803,1972.69462370712,1899.45905364423,2249.38519374893,2322.62076381182,California
2023-10-09,2109.29959058015,1958.77412395842,1879.0907552382,2259.82505720188,2339.5084259221,California
2023-10-10,2107.90733606185,1945.66469969918,1859.77863599465,2270.14997242452,2356.03603612905,California
2023-10-11,2106.79353244721,1933.28105056976,1841.4290910223,2280.30601432466,2372.15797387213,California
2023-10-12,2105.9024895555,1921.54635820425,1823.9541173696,2290.25862090675,2387.8508617414,California
2023-10-13,2105.18965524213,1910.39227823336,1807.27277582432,2299.9870322509,2403.10653465994,California
2023-10-14,2104.61938779143,1899.75845534056,1791.31162847987,2309.48032024231,2417.927147103,California
2023-10-15,2104.16317383088,1889.59182469159,1776.00461374325,2318.73452297016,2432.32173391851,California
2023-10-16,2103.79820266243,1879.84584325167,1761.29262543946,2327.75056207319,2446.3037798854,California
2023-10-17,2103.50622572768,1870.47972807177,1747.12295163368,2336.53272338358,2459.88949982168,California
2023-10-18,2103.27264417987,1861.45774105709,1733.44866378913,2345.08754730265,2473.09662457061,California
2023-10-19,2103.08577894163,1852.74853831581,1720.22800809006,2353.42301956745,2485.9435497932,California
2023-10-20,2102.93628675103,1844.32459004522,1707.42382736061,2361.54798345685,2498.44874614146,California
2023-10-21,2102.81669299856,1836.16167018721,1695.00302786145,2369.4717158099,2510.63035813566,California
2023-10-22,2102.72101799658,1828.23841155043,1682.93609674878,2377.20362444272,2522.50593924437,California
2023-10-23,2102.64447799499,1820.53592044005,1671.19667097424,2384.75303554993,2534.09228501574,California
2023-10-24,2102.58324599372,1813.03744427387,1659.76115556576,2392.12904771358,2545.40533642168,California
2023-10-25,2102.53426039271,1805.72808571948,1648.6083877327,2399.34043506594,2556.46013305272,California
2023-10-26,2102.4950719119,1798.59455727679,1637.71934256785,2406.395586547,2567.27080125594,California
2023-10-27,2102.46372112725,1791.62497077851,1627.07687594473,2413.30247147598,2577.85056630976,California
2023-10-28,2102.43864049953,1784.80865688681,1616.66550032438,2420.06862411225,2588.21178067467,California
2023-10-29,2102.41857599735,1778.136010268,1606.47118946073,2426.7011417267,2598.36596253398,California
2023-10-30,2102.40252439561,1771.5983566961,1596.4812083452,2433.20669209513,2608.32384044603,California
2023-10-31,2102.38968311422,1765.18783885489,1586.68396510987,2439.59152737355,2618.09540111857,California
2023-11-01,2102.37941008911,1758.89731807065,1577.06888198362,2445.86150210756,2627.68993819459,California
