state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
CA,2020-05-30,1.06164442161903,0.782852734584642,1.36268025586327,1.35157173110092,1.01130907147322,1.72501339743871,1.69750182547916,1.26102224225023,2.18715951403178
CA,2020-05-31,1.24448582732964,0.911132074236824,1.59970701675773,1.53576378584513,1.13801609007265,1.9504078341453,1.87225087147192,1.39825895484767,2.39294208162534
CA,2020-06-01,1.22513902152023,0.894781305474634,1.57776359109913,1.5146854885996,1.12218569425232,1.92661904052034,1.84993313205149,1.37838813656687,2.36482654309277
CA,2020-06-02,0.807306126426376,0.58628856031126,1.05841939389993,1.07943497775111,0.781064995080442,1.42355675509737,1.42200385198921,0.997934336619015,1.91263765309579
CA,2020-06-03,1.05166811020616,0.773985186652652,1.34504593918233,1.3391653963671,1.00056288661493,1.70214098185594,1.68222740365234,1.247491398047,2.17183467009027
CA,2020-06-04,1.0533079071213,0.776647695674729,1.34736066958642,1.34103290887075,1.00535209581049,1.70390208989892,1.68418651648428,1.25107662976077,2.16581745467329
CA,2020-06-05,1.06116331224756,0.783006012760064,1.35638224138564,1.34887249184573,1.01161987410312,1.71006394844809,1.69130997577386,1.25847747300896,2.16962825148101
CA,2020-06-06,1.05693309507168,0.780361611922643,1.34935798703325,1.34448017891679,1.00782283831016,1.70537818405954,1.68675100047399,1.25429164880809,2.16242401716471
CA,2020-06-07,1.05857591613419,0.782615196136721,1.35244781890484,1.34624194710152,1.01085900926013,1.70639728777598,1.68833805270625,1.25950435794497,2.15624866401866
CA,2020-06-08,1.24080380409127,0.910628204975634,1.58813235691785,1.52938153774276,1.13754927874978,1.93017716807421,1.8612496071971,1.39757844649779,2.35277799125118
CA,2020-06-09,1.22140945827159,0.894455384529123,1.56391883146053,1.5079664048342,1.12115128579824,1.9013193231619,1.83788473411427,1.37749643990002,2.3217523048143
CA,2020-06-10,0.804776832801734,0.586069831618346,1.0487706978591,1.07430100555235,0.78042611132857,1.40178269108203,1.4116486526524,0.996347715010029,1.87616794458979
CA,2020-06-11,1.04830617480734,0.773697116730994,1.33113111508611,1.33248624103738,0.999937168297447,1.67496896815888,1.66896961525701,1.24546429451489,2.11409905416903
CA,2020-06-12,1.0498525169285,0.776336363798384,1.33411711411686,1.33391730255105,1.00480759456217,1.67451527881769,1.66952448459105,1.24931225947633,2.10605690642051
CA,2020-06-13,1.05759120941081,0.782729641686232,1.33978161938277,1.34126000012913,1.01107058941301,1.68020136319747,1.67505514131245,1.25665142270751,2.10298271009281
CA,2020-06-14,1.05328129992436,0.780157980619934,1.3342841916292,1.33640709531811,1.00706096639107,1.67065727066467,1.66885174510695,1.25239589193703,2.08902392384299
CA,2020-06-15,1.05482145926702,0.782333963631746,1.33609799664155,1.33764536078831,1.01041165423956,1.6673424493535,1.66857632550186,1.25816882246964,2.08072772395482
CA,2020-06-16,1.23629190903843,0.910133573698872,1.5739316804135,1.51902074180041,1.13707298491911,1.88636777733906,1.83732157520722,1.39653412608562,2.2545810177277
CA,2020-06-17,1.21683280465306,0.894208958970019,1.54539857231132,1.49701851347952,1.12006957818792,1.85726382981729,1.81159151309925,1.37571021514265,2.21079366800088
CA,2020-06-18,0.801671003232571,0.585904931289677,1.03594195534681,1.06591562733197,0.779761382100279,1.36638992988648,1.38899286762009,0.990727947118561,1.7875979514195
CA,2020-06-19,1.04417141312716,0.773516604994706,1.31516415129727,1.32158516651627,0.999304799317727,1.62511460214649,1.64010574620859,1.24281433775322,1.99924263635596
CA,2020-06-20,1.04559813571082,0.776098532002404,1.31300600086672,1.32231041660423,1.00423832724854,1.61925689275814,1.63774102446544,1.24676983252763,1.97934356991565
CA,2020-06-21,1.05318899269066,0.782567889100229,1.32058776198989,1.32885476386153,1.01051316459456,1.62254412009171,1.64000710691777,1.25426056944289,1.96300045245646
CA,2020-06-22,1.04877709096733,0.78000204240408,1.31349482248829,1.32326765727284,1.00629298847238,1.61046943011115,1.63050021434217,1.24992977267726,1.93867612682342
CA,2020-06-23,1.05018726915835,0.782113201517797,1.3131896146215,1.32367821923599,1.00996033824109,1.60136326316982,1.62655657816433,1.25610483698094,1.9188224085869
CA,2020-06-24,1.23071958490919,0.909730235372365,1.54635305962877,1.50223067111964,1.13658502416811,1.81330214168561,1.78694139853542,1.39420685081685,2.08729534084972
CA,2020-06-25,1.21117889161226,0.894022684129546,1.51968785052843,1.47932806409677,1.1189512197113,1.77648890772206,1.75683199134373,1.37309418402253,2.03951785743615
CA,2020-06-26,0.797835956354385,0.585780640062856,1.01745926711804,1.0523982839899,0.779069982361211,1.31086226439138,1.34227901004976,0.988083955120168,1.64939492677525
CA,2020-06-27,1.03906216564632,0.773379302925175,1.28477621653768,1.30407707743846,0.998666138860772,1.54588497199621,1.58137286739435,1.23905881730908,1.83087190300928
CA,2020-06-28,1.04034129612717,0.77591689858482,1.28328094287189,1.30374907494609,1.00309737580309,1.53559678754367,1.57404049631318,1.24242842798387,1.80721656582999
