date,hosp_admits,hosp_admits_l20,hosp_admits_l5,hosp_admits_u80,hosp_admits_u95,state
2023-09-30,2141.39402030978,2109.42905162486,2092.50781933763,2173.3589889947,2190.28022128193,California
2023-10-01,2117.58277558811,2077.06718770482,2055.61953103465,2158.0983634714,2179.54602014158,California
2023-10-02,2093.77153086644,2044.33499147305,2018.16486833611,2143.20807025984,2169.37819339678,California
2023-10-03,2069.96028614478,2011.20057366742,1980.09506082424,2128.71999862214,2159.82551146531,California
2023-10-04,2046.14904142311,1977.65613009934,1941.39817302256,2114.64195274688,2150.89990982366,California
2023-10-05,2022.33779670144,1943.70405336474,1902.07786409077,2100.97154003814,2142.59772931211,California
2023-10-06,1998.52655197977,1909.35125960893,1862.14471136034,2087.70184435062,2134.9083925992,California
2023-10-07,1974.71530725811,1874.60661968878,1821.61228163614,2074.82399482743,2127.81833288007,California
2023-10-08,1950.90406253644,1839.47971980193,1780.49523574227,2062.32840527095,2121.31288933061,California
2023-10-09,1927.09281781477,1803.98024274334,1738.80838223575,2050.2053928862,2115.3772533938,California
2023-10-10,1903.2815730931,1768.11765713197,1696.56620211961,2038.44548905423,2109.9969440666,California
2023-10-11,1879.47032837143,1731.90106613874,1653.78261749238,2027.03959060413,2105.15803925049,California
2023-10-12,1855.65908364977,1695.33914114423,1610.47089008625,2015.9790261553,2100.84727721329,California
2023-10-13,1831.8478389281,1658.44010122424,1566.64358989291,2005.25557663196,2097.05208796329,California
2023-10-14,1808.03659420643,1621.21171728134,1522.31260148227,1994.86147113152,2093.76058693059,California
2023-10-15,1784.22534948476,1583.6613290751,1477.48915004792,1984.78936989442,2090.96154892161,California
2023-10-16,1760.4141047631,1545.79586853793,1432.18383706561,1975.03234098826,2088.64437246058,California
2023-10-17,1736.60286004143,1507.62188563304,1386.40667983965,1965.58383444981,2086.7990402432,California
2023-10-18,1712.79161531976,1469.1455746478,1340.16715171506,1956.43765599172,2085.41607892446,California
2023-10-19,1688.98037059809,1430.37279976321,1293.47422118275,1947.58794143297,2084.48652001344,California
2023-10-20,1665.16912587643,1391.30911929387,1246.33638895131,1939.02913245898,2084.00186280154,California
2023-10-21,1641.35788115476,1351.95980831674,1198.76172255478,1930.75595399278,2083.95403975473,California
2023-10-22,1617.54663643309,1312.32987959559,1150.7578883538,1922.76339327059,2084.33538451237,California
2023-10-23,1593.73539171142,1272.42410281558,1102.3321809523,1915.04668060727,2085.13860247055,California
2023-10-24,1569.92414698975,1232.24702220146,1053.49155014232,1907.60127177804,2086.35674383718,California
2023-10-25,1546.11290226809,1191.80297262325,1004.24262553545,1900.42283191292,2087.98317900072,California
2023-10-26,1522.30165754642,1151.09609430521,954.591739058274,1893.50722078763,2090.01157603456,California
2023-10-27,1498.49041282475,1110.13034625691,904.544945493454,1886.85047939259,2092.43588015605,California
2023-10-28,1474.67916810308,1068.90951854144,854.108041242266,1880.44881766473,2095.2502949639,California
2023-10-29,1450.86792338142,1027.43724348915,803.286581474607,1874.29860327368,2098.44926528822,California
2023-10-30,1427.05667865975,985.717005957519,752.085895820062,1868.39635136198,2102.02746149943,California
2023-10-31,1403.24543393808,943.752152728841,700.511102740463,1862.73871514732,2105.9797651357,California
2023-11-01,1379.43418921641,901.545901129137,648.567122711343,1857.32247730369,2110.30125572148,California
