date,hosp_admits,hosp_admits_l20,hosp_admits_l5,hosp_admits_u80,hosp_admits_u95,state
2023-09-30,2125.34553003766,2097.13785014127,2082.20560639295,2153.55320993405,2168.48545368238,California
2023-10-01,2120.6212689746,2080.16157742637,2058.7435104886,2161.08096052283,2182.4990274606,California
2023-10-02,2068.11936290084,2015.24254513605,1987.25124863809,2120.99618066562,2148.98747716359,California
2023-10-03,2063.26881679864,1999.75781799789,1966.13712610562,2126.77981559939,2160.40050749166,California
2023-10-04,2023.11283276573,1945.24443146939,1904.02338979847,2100.98123406207,2142.202275733,California
2023-10-05,2016.63592537714,1925.80292503798,1877.71883919902,2107.4689257163,2155.55301155526,California
2023-10-06,1972.4992655512,1862.5148925853,1804.29268247564,2082.48363851711,2140.70584862677,California
2023-10-07,1963.83657930898,1836.64146986084,1769.30844620024,2091.03168875712,2158.36471241772,California
2023-10-08,1920.75517935854,1774.61085681491,1697.24672567505,2066.89950190217,2144.26363304203,California
2023-10-09,1911.40821504241,1747.46162064968,1660.67353605102,2075.35480943514,2162.1428940338,California
2023-10-10,1872.2841856922,1687.67802208182,1589.9534221644,2056.89034930257,2154.61494921999,California
2023-10-11,1861.47140312523,1657.14742043072,1548.98483760116,2065.79538581974,2173.9579686493,California
2023-10-12,1821.5942410971,1594.73151253854,1474.63763836351,2048.45696965566,2168.55084383068,California
2023-10-13,1809.51983776449,1561.0055158703,1429.44998053013,2058.03415965868,2189.58969499885,California
2023-10-14,1771.10143177677,1499.18508252896,1355.24126222764,2043.01778102459,2186.9616013259,California
2023-10-15,1758.18756119906,1463.4968914525,1307.49707412702,2052.87823094561,2208.87804827109,California
2023-10-16,1721.34004849391,1401.88111369625,1232.76976886036,2040.79898329158,2209.91032812747,California
2023-10-17,1707.33150908254,1363.62034866338,1181.67065108988,2051.04266950169,2232.99236707519,California
2023-10-18,1670.8164463439,1301.08405174439,1105.35954486929,2040.54884094341,2236.27334781851,California
2023-10-19,1655.91996959627,1260.59832684015,1051.32769025093,2051.24161235238,2260.51224894161,California
2023-10-20,1620.48789781531,1198.12337118589,974.537096616617,2042.85242444473,2266.438699014,California
2023-10-21,1604.82310657055,1155.72662292318,917.989305108664,2053.91959021792,2291.65690803244,California
2023-10-22,1570.2648524162,1092.98855265445,840.333741286821,2047.54115217795,2300.19596354559,California
2023-10-23,1553.79215828269,1048.57668471613,781.131768139114,2059.00763184924,2326.45254842626,California
2023-10-24,1519.79866253272,985.350212847644,702.430293487909,2054.24711221779,2337.16703157753,California
2023-10-25,1502.64223527835,939.137526587683,640.836152833981,2066.14694396901,2364.44831772272,California
2023-10-26,1469.4120107362,875.685614817218,561.385846234997,2063.13840665519,2377.43817523741,California
2023-10-27,1451.62155943172,827.783492810877,497.543568631283,2075.45962605255,2405.69955023215,California
2023-10-28,1419.00870769838,763.949925155791,417.182752303029,2074.06749024097,2420.83466309373,California
2023-10-29,1400.60860161091,714.392052728439,351.13095469823,2086.82515049337,2450.08624852358,California
2023-10-30,1368.52657773464,650.137754491271,269.845683177913,2086.91540097802,2467.20747229137,California
2023-10-31,1349.5877481474,599.045682221659,201.732712387198,2100.12981407315,2497.44278390761,California
2023-11-01,1318.06221979516,534.424895507912,119.59235417438,2101.6995440824,2516.53208541593,California
