date,Rt
2020-03-22,2.88712989604425
2020-03-23,2.87293981633155
2020-03-24,2.85778083466105
2020-03-25,2.84160244396355
2020-03-26,2.82434658798271
2020-03-27,2.80596034536385
2020-03-28,2.78639761617992
2020-03-29,2.76561912193146
2020-03-30,2.74359240554663
2020-03-31,2.72029183138118
2020-04-01,2.69569858521848
2020-04-02,2.6698006742695
2020-04-03,2.64258988215584
2020-04-04,2.61406313988538
2020-04-05,2.58425761312593
2020-04-06,2.55322287208929
2020-04-07,2.52101712840291
2020-04-08,2.48770723510983
2020-04-09,2.45336868666872
2020-04-10,2.41808561895388
2020-04-11,2.38195080925519
2020-04-12,2.3450656762782
2020-04-13,2.30754028014402
2020-04-14,2.26949332238942
2020-04-15,2.23105214596677
2020-04-16,2.19235273524405
2020-04-17,2.15353971600488
2020-04-18,2.11476086667949
2020-04-19,2.07610676568472
2020-04-20,2.03769483282754
2020-04-21,1.99964777884949
2020-04-22,1.96207712731754
2020-04-23,1.92508321462413
2020-04-24,1.88875518998713
2020-04-25,1.85317101544985
2020-04-26,1.81839746588105
2020-04-27,1.78449012897494
2020-04-28,1.75149340525116
2020-04-29,1.7194405080548
2020-04-30,1.6883534635564
2020-05-01,1.65824311075193
2020-05-02,1.62910910146283
2020-05-03,1.60093990033597
2020-05-04,1.57371278484364
2020-05-05,1.54739384528361
2020-05-06,1.52193798477908
2020-05-07,1.4972889192787
2020-05-08,1.47341471129302
2020-05-09,1.45034867253855
2020-05-10,1.42805835235355
2020-05-11,1.40650899785042
2020-05-12,1.38566735356024
2020-05-13,1.36550166143282
2020-05-14,1.34598166083664
2020-05-15,1.32707858855893
2020-05-16,1.30876517880558
2020-05-17,1.29101566320121
2020-05-18,1.27380577078913
2020-05-19,1.25711272803136
2020-05-20,1.24091525880862
2020-05-21,1.22519358442033
2020-05-22,1.20992893687127
2020-05-23,1.19508491863492
2020-05-24,1.18063635771677
2020-05-25,1.16656861784371
2020-05-26,1.15286693144755
2020-05-27,1.13951639966502
2020-05-28,1.12650199233778
2020-05-29,1.11380854801241
2020-05-30,1.10142077394043
2020-05-31,1.08932324607825
2020-06-01,1.07750040908723
2020-06-02,1.06593657633364
2020-06-03,1.05461592988869
2020-06-04,1.04352444693984
2020-06-05,1.03265778316575
2020-06-06,1.02201149870498
2020-06-07,1.01158045278853
2020-06-08,1.00135908186575
2020-06-09,0.991341399604274
2020-06-10,0.981520996890081
2020-06-11,0.971891041827468
2020-06-12,0.962444279739053
2020-06-13,0.953173033165778
2020-06-14,0.944069201866906
2020-06-15,0.935124262820026
2020-06-16,0.926329270221046
2020-06-17,0.917676591507961
2020-06-18,0.909168089138625
2020-06-19,0.900802506212048
2020-06-20,0.892577474460653
2020-06-21,0.884490369871952
2020-06-22,0.876538312688543
2020-06-23,0.868718167408116
2020-06-24,0.861026542783449
2020-06-25,0.853459791822407
2020-06-26,0.846014011787949
2020-06-27,0.838685044198116
2020-06-28,0.831468474826043
2020-06-29,0.824359633699952
2020-06-30,0.817354151959974
2020-07-01,0.810452439014256
2020-07-02,0.803653875416051
2020-07-03,0.796957052415699
2020-07-04,0.790360410819729
2020-07-05,0.783862240990853
2020-07-06,0.777460682847972
2020-07-07,0.771153725866171
2020-07-08,0.764939209076722
2020-07-09,0.758814821067086
2020-07-10,0.752778099980906
2020-07-11,0.746826433518015
2020-07-12,0.74095705893443
2020-07-13,0.735167142545547
2020-07-14,0.729455935951246
2020-07-15,0.723823172068771
2020-07-16,0.718268035273494
2020-07-17,0.712789592837355
2020-07-18,0.707386794928864
2020-07-19,0.702058474613103
2020-07-20,0.696803347851724
2020-07-21,0.691620013502948
2020-07-22,0.686506953321566
2020-07-23,0.681462531958941
2020-07-24,0.676484996963006
2020-07-25,0.671572478778262
2020-07-26,0.666722990745783
2020-07-27,0.661934529968045
2020-07-28,0.657206875676731
2020-07-29,0.652539922654217
2020-07-30,0.647933143265977
2020-07-31,0.643385916866191
2020-08-01,0.63889752979775
2020-08-02,0.634467175392251
2020-08-03,0.63009395397
2020-08-04,0.625776872840011
2020-08-05,0.621514846300007
2020-08-06,0.61730669563642
2020-08-07,0.613151149124388
2020-08-08,0.609046842027758
2020-08-09,0.604992316599088
2020-08-10,0.600986023259096
2020-08-11,0.597027943152162
2020-08-12,0.593118447942147
2020-08-13,0.5892567462418
2020-08-14,0.585442054300983
2020-08-15,0.581673596006674
