date,Rt
2020-03-22,2.2818382470805
2020-03-23,2.24613124502148
2020-03-24,2.2091819187945
2020-03-25,2.17096049382579
2020-03-26,2.13146428735863
2020-03-27,2.09069721274154
2020-03-28,2.04875421802406
2020-03-29,2.00567738379033
2020-03-30,1.96154735604548
2020-03-31,1.91650910117187
2020-04-01,1.87071164083168
2020-04-02,1.82431903359228
2020-04-03,1.77750482779436
2020-04-04,1.73049817688255
2020-04-05,1.68352848874898
2020-04-06,1.63684171070021
2020-04-07,1.59065078365937
2020-04-08,1.54521947922926
2020-04-09,1.5007638120049
2020-04-10,1.45752150406106
2020-04-11,1.4156842004521
2020-04-12,1.37543623540021
2020-04-13,1.33695676410019
2020-04-14,1.30038580036726
2020-04-15,1.26582861428124
2020-04-16,1.23336597454962
2020-04-17,1.19999976596741
2020-04-18,1.16958820559617
2020-04-19,1.14197785256352
2020-04-20,1.11691659385425
2020-04-21,1.09426199508501
2020-04-22,1.07384652388716
2020-04-23,1.05543969842147
2020-04-24,1.03887716082334
2020-04-25,1.02402694442876
2020-04-26,1.01067226906889
2020-04-27,0.998677524583325
2020-04-28,0.987920743748475
2020-04-29,0.978251421741865
2020-04-30,0.969582950791297
2020-05-01,0.961773306100417
2020-05-02,0.95474212882365
2020-05-03,0.948403919168963
2020-05-04,0.942666801588448
2020-05-05,0.937474277062758
2020-05-06,0.932778767410818
2020-05-07,0.92854997478128
2020-05-08,0.924700803909604
2020-05-09,0.921225173515822
2020-05-10,0.918046302702247
2020-05-11,0.915141598269206
2020-05-12,0.912490488742894
2020-05-13,0.910118711988082
2020-05-14,0.908003232096466
2020-05-15,0.906140409702814
2020-05-16,0.904550973865463
2020-05-17,0.903227024562719
2020-05-18,0.90222867979169
2020-05-19,0.901399660206949
2020-05-20,0.900743114178574
2020-05-21,0.900250703278352
2020-05-22,0.89993562124681
2020-05-23,0.899822910614605
2020-05-24,0.899905867162072
2020-05-25,0.900196741464838
2020-05-26,0.900699852924377
2020-05-27,0.901445674756354
2020-05-28,0.90240759391888
2020-05-29,0.903600500279294
2020-05-30,0.905001068882385
2020-05-31,0.90660816495642
2020-06-01,0.908378063040622
2020-06-02,0.910251022821234
2020-06-03,0.912143740815708
2020-06-04,0.914023561975694
2020-06-05,0.91582335131979
2020-06-06,0.917526374399179
2020-06-07,0.919035160299674
2020-06-08,0.920300887526519
2020-06-09,0.921251713245222
2020-06-10,0.921853225997497
2020-06-11,0.922063278488905
2020-06-12,0.921835417554841
2020-06-13,0.921138546185022
2020-06-14,0.919976185393134
2020-06-15,0.918380830801615
2020-06-16,0.916368251778634
2020-06-17,0.913935934823302
2020-06-18,0.911107146905849
2020-06-19,0.907936562771605
2020-06-20,0.904502078975347
2020-06-21,0.900825229945566
2020-06-22,0.896968600308195
2020-06-23,0.893001245502104
2020-06-24,0.888955910775117
2020-06-25,0.88489698469943
2020-06-26,0.880887092606082
2020-06-27,0.87699108112231
2020-06-28,0.873239106759968
2020-06-29,0.869661163500972
2020-06-30,0.866302802859371
2020-07-01,0.863197986243513
2020-07-02,0.86031982587104
2020-07-03,0.857727214391039
2020-07-04,0.855402461959392
2020-07-05,0.853327379341562
2020-07-06,0.851485456827964
2020-07-07,0.849849731089276
2020-07-08,0.848599869723795
2020-07-09,0.84765621206369
2020-07-10,0.846993929246345
2020-07-11,0.84658892294722
2020-07-12,0.84641101496412
2020-07-13,0.846379043844294
2020-07-14,0.846498921370218
2020-07-15,0.846748813813311
2020-07-16,0.847109633909865
2020-07-17,0.847565287822424
2020-07-18,0.84809298182623
2020-07-19,0.848670472532857
2020-07-20,0.849276677058543
2020-07-21,0.849907924072092
2020-07-22,0.850551146448821
2020-07-23,0.851221570496891
2020-07-24,0.851880002180991
2020-07-25,0.852520513999366
2020-07-26,0.853122522985652
2020-07-27,0.853698851466112
2020-07-28,0.854231397917549
2020-07-29,0.854750426510858
2020-07-30,0.855223494694789
2020-07-31,0.855658407624913
2020-08-01,0.856076097295874
2020-08-02,0.856467091497473
2020-08-03,0.856814624682554
2020-08-04,0.857131038216551
2020-08-05,0.857405014797746
