county,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
Georgia,2020-05-13,1121,1020.5,1221.5,311.9,293.5,331,274.8,259,291,140.5,109,182,38.3,33,43.5,0,0,0,0,0,0,19,19,19,1517,1517,1517,29.03649166376,29.03649166376,29.03649166376,1490.52181261725,1490.52181261725,1490.52181261725,observed,-25.6546771437552,observed,13436.0245023599,503.000000000218,3830.9707489361,2808.66240664976,5016.05970999252
Georgia,2020-05-14,1112.1,1019,1211.5,309.1,290,328.5,272.6,256.5,288.5,139,107,178,37.9,33,43.5,0,0,0,0,0,0,28,28,28,1545,1545,1545,28.7835962220502,28.7835962220502,28.7835962220502,1519.3054088393,1519.3054088393,1519.3054088393,observed,-25.4462798980639,observed,14446.4788759246,549.999999999942,3829.31345876521,2841.81559764547,4989.97253442716
Georgia,2020-05-15,1106,1011,1204,306.7,288,327,270.5,255.5,286.5,141.1,108,181.5,37.9,33,43.5,0,0,0,0,0,0,43,43,43,1588,1588,1588,28.55475084672,28.55475084672,28.55475084672,1547.86015968602,1547.86015968602,1547.86015968602,observed,-25.2096430688888,observed,15447.2705229755,794.999999999935,3827.17525640264,2886.55362714118,4898.88433476031
Georgia,2020-05-16,1098.5,1002.5,1205,304.3,286,324.5,268.4,253.5,284,140.1,109,179,38,33,43.5,0,0,0,0,0,0,10,10,10,1598,1598,1598,28.3493140891298,28.3493140891298,28.3493140891298,1576.20947377515,1576.20947377515,1576.20947377515,observed,-24.9582332482045,observed,16359.5037933133,440.000000000211,3824.62484750132,2902.82305698742,4827.42887175014
Georgia,2020-05-17,1092.5,997.5,1201,303.2,283.5,322.5,267.6,252.5,283,140.1,108,181.5,37.8,33,43.5,0,0,0,0,0,0,12,12,12,1610,1610,1610,28.16659083793,28.16659083793,28.16659083793,1604.37606461308,1604.37606461308,1604.37606461308,observed,-24.7125619973871,observed,17120.7454628126,366.999999999811,3821.65499567328,2926.20440510724,4767.98606536861
Georgia,2020-05-18,1086.4,991.5,1187,301.2,282.5,320.5,265.9,249.5,280.5,135,103.5,177,37.1,32.5,43,0,0,0,0,0,0,39,39,39,1649,1649,1649,28.00581892781,28.00581892781,28.00581892781,1632.38188354089,1632.38188354089,1632.38188354089,observed,-24.4923591067211,observed,17699.2324409214,703.999999999942,3815.45998053956,2935.30784412886,4737.30823901825
Georgia,2020-05-19,1080.4,981,1184.5,299,280,318.5,264.1,248.5,279.5,135.1,101,176,36.9,32.5,42.5,0,0,0,0,0,0,26,26,26,1675,1675,1675,27.8660749933701,27.8660749933701,27.8660749933701,1660.24795853426,1660.24795853426,1660.24795853426,observed,-24.3170952832903,observed,18098.19347164,572.000000000138,3806.98640761797,2925.55328313064,4776.20223473571
Georgia,2020-05-20,1073.6,977.5,1173,296.9,278,316.5,262.3,247.5,277.5,135,103,176,36.8,32,42.5,0,0,0,0,0,0,22,22,22,1697,1697,1697,27.7464632435099,27.7464632435099,27.7464632435099,1687.99442177777,1687.99442177777,1687.99442177777,observed,-24.2042656323259,observed,18348.282472196,945.999999999854,3794.50620490244,2867.63317683581,4877.51776919482
Georgia,2020-05-21,1068.9,971.5,1171,294.9,276.5,314,260.6,245.5,276,135.4,104.5,173,36.6,32,42.5,0,0,0,0,0,0,78,78,78,1775,1775,1775,27.64597868638,27.64597868638,27.64597868638,1715.64040046415,1715.64040046415,1715.64040046415,observed,-24.1609458047045,observed,18492.5681351827,861.999999999993,3776.25837061928,2772.27383555891,4964.08009140007
Georgia,2020-05-22,1061.9,964.5,1157.5,292.8,273.5,312,258.7,243,273.5,135.1,103.5,175,36.6,32,42,0,0,0,0,0,0,33,33,33,1808,1808,1808,27.5633163336802,27.5633163336802,27.5633163336802,1743.20371679783,1743.20371679783,1743.20371679783,observed,-24.1792092889335,observed,18571.8504255698,819.000000000109,3756.36969030413,2700.42430604813,5033.85884545632
Georgia,2020-05-23,1057,960,1155.5,291,272,310.5,257.1,241,273,136.4,103,177.5,36.5,32,42,0,0,0,0,0,0,14,14,14,1822,1822,1822,27.4970520382999,27.4970520382999,27.4970520382999,1770.70076883613,1770.70076883613,1770.70076883613,observed,-24.2362755498854,observed,18616.2553611686,759.999999999847,3735.15669035021,2619.43435924677,5157.25429119743
Georgia,2020-05-24,1052.4,957,1150.5,290.3,271.5,310,256.6,240.5,272.5,135.5,104,173,36.6,32,42,0,0,0,0,0,0,5,5,5,1827,1827,1827,27.4455465723299,27.4455465723299,27.4455465723299,1798.14631540846,1798.14631540846,1798.14631540846,observed,-24.3028994001061,observed,18644.0156833908,659.999999999978,3720.49139185683,2555.6061367305,5274.93684719861
Georgia,2020-05-25,1051.2,958.5,1153.5,289.4,270.5,308,255.9,240,272,134.8,103.5,172,36.5,32,42,0,0,0,0,0,0,21,21,21,1848,1848,1848,27.4070555475,27.4070555475,27.4070555475,1825.55337095596,1825.55337095596,1825.55337095596,observed,-24.345597179715,observed,18664.7619443758,498.000000000051,3717.81825168654,2483.86145687006,5358.43889038102
Georgia,2020-05-26,1050.1,956,1147.5,288.6,269.5,308.5,255.4,239.5,271.5,135,104,174.5,36.6,32,42.5,0,0,0,0,0,0,48,48,48,1896,1896,1896,27.3796049489101,27.3796049489101,27.3796049489101,1852.93297590487,1852.93297590487,1852.93297590487,observed,-24.3445835560467,observed,18684.0987485945,583.00000000008,3729.96404443989,2477.98303718749,5492.78646168299
Georgia,2020-05-27,1050.7,957.5,1146.5,288.3,269,308,255.2,240,271.5,136.5,104.5,178,36.5,32,42,0,0,0,0,0,0,37,37,37,1933,1933,1933,27.36079060826,27.36079060826,27.36079060826,1880.29376651313,1880.29376651313,1880.29376651313,observed,-24.3101204731233,projected,18906.4603994668,655.00000000016,3760.28693497259,2465.60984842707,5663.55979309045
Georgia,2020-05-28,1050,955,1146.5,287.8,269,306.5,254.8,239.5,271.5,135.4,104.5,171.5,36.4,32,42,0,0,0,0,0,0,40,40,40,1973,1973,1973,27.3480409460099,27.3480409460099,27.3480409460099,1907.64180745914,1907.64180745914,1907.64180745914,observed,-24.2620350277368,projected,19128.822050339,627.999999999971,3805.66360103165,2442.6339270276,5802.49351107669
Georgia,2020-05-29,1048.8,958.5,1140.5,287.3,269.5,306.5,254.4,239,271.5,134.8,104.5,173,36.5,32,42,0,0,0,0,0,0,14,14,14,1987,1987,1987,27.33861302629,27.33861302629,27.33861302629,1934.98042048543,1934.98042048543,1934.98042048543,projected,-24.2620350277368,projected,19351.1837012113,614.999999999811,3852.02480037711,2452.66837412189,5945.21911935769
Georgia,2020-05-30,1046.6,957.5,1138,287.1,269,307,254.3,239.5,271,134.9,104.5,175,36.6,32,42,0,0,0,0,0,0,17,17,17,2004,2004,2004,27.3297992424,27.3297992424,27.3297992424,1962.31021972783,1962.31021972783,1962.31021972783,projected,-24.2620350277368,projected,19573.5453520835,449.999999999993,3891.15396758529,2461.67226914726,6129.04725091513
Georgia,2020-05-31,1046.3,955.5,1144.1,286.6,268.5,306,253.9,239,269.5,135.6,105,179.5,36.5,32.5,42,0,0,0,0,0,0,49,49,49,2053,2053,2053,27.3189158572102,27.3189158572102,27.3189158572102,1989.62913558504,1989.62913558504,1989.62913558504,projected,-24.2620350277368,projected,19795.9070029558,732.000000000284,3922.68462917966,2443.85115902307,6306.27999458322
Georgia,2020-06-01,1046.1,962.5,1150,286.2,268,305.5,253.5,238,269,135,103,175.5,36.5,32,42.5,0,0,0,0,0,0,41,41,41,2094,2094,2094,27.3032837457899,27.3032837457899,27.3032837457899,2016.93241933083,2016.93241933083,2016.93241933083,projected,-24.2620350277368,projected,20018.2686538282,838.999999999898,3946.75793418074,2439.21288851686,6421.99163207198
