state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
GA,2020-05-30,1.11290609936895,0.804459444926628,1.44779650061614,1.32344966818292,0.9700418332333,1.6992217774702,1.56257955095014,1.14484055590124,2.01638590100522
GA,2020-05-31,1.34494537393495,0.96994453102153,1.74975631947937,1.54080478995549,1.13686914868474,1.96005270414298,1.75591100784979,1.31361687984698,2.22452011440083
GA,2020-06-01,1.22128294594558,0.882401313218497,1.58317518183448,1.42365238073827,1.04373775659035,1.81784354007454,1.64934727054291,1.22018879055252,2.10300606704992
GA,2020-06-02,0.785363624239382,0.552361762653076,1.05381550126294,0.997019320030168,0.70037331657691,1.33907624201369,1.25322357023445,0.857421012081387,1.69840779951836
GA,2020-06-03,1.07968557256864,0.782818326226627,1.39613339119947,1.2899056685198,0.945995035251003,1.6498558355404,1.529502130996,1.12254705669663,1.96027849249907
GA,2020-06-04,1.05598541479921,0.765276468837239,1.36470627484311,1.26628265838398,0.926164891846163,1.62018706750755,1.50671833797779,1.10733025650488,1.9318842307318
GA,2020-06-05,1.12436620278779,0.814526087119391,1.45045034383292,1.33216660347225,0.98348054934969,1.68830488505882,1.56691717501304,1.16023699243903,1.98662688353785
GA,2020-06-06,1.09834372990187,0.797902387818947,1.41200757752308,1.30600184908294,0.96361628216478,1.65352343149559,1.54122185426924,1.13600030153218,1.95260042384695
GA,2020-06-07,1.10502857196121,0.803755869158555,1.41551623577345,1.31179189339193,0.968499034015395,1.6551641388872,1.54541654727674,1.14242280647724,1.94689628999799
GA,2020-06-08,1.33514497613614,0.968866024020252,1.71192295405042,1.52654405258536,1.13493684954382,1.90532396532987,1.73519178359142,1.31117627085274,2.14265771844551
GA,2020-06-09,1.21203390542382,0.881479112281537,1.54500131589208,1.40959672860868,1.04270488465428,1.76004176313765,1.62804556399235,1.21854257689303,2.02269874705516
GA,2020-06-10,0.779193537643576,0.551786964253927,1.03123274807411,0.986516103775028,0.699788001734749,1.30219969900299,1.23546195287105,0.853836191128112,1.63794244268515
GA,2020-06-11,1.07100711371553,0.782273425393255,1.36192958064711,1.27574781206595,0.945090588939612,1.59650866298196,1.50642409313642,1.12082131321839,1.87127967621492
GA,2020-06-12,1.04722405993261,0.764503886131421,1.32978525452904,1.25156879840438,0.925199573968708,1.56272610037366,1.48201892352682,1.10530058691783,1.83551528548739
GA,2020-06-13,1.11474717689405,0.813828915569328,1.41148087185339,1.3158213658275,0.982572556599943,1.62132121223266,1.53912089227651,1.15761632076001,1.87366242291126
GA,2020-06-14,1.08864017493767,0.797392702515127,1.36727806770246,1.28903140145497,0.962397436024786,1.58491583965433,1.51152604884099,1.13450289430585,1.83609682808494
GA,2020-06-15,1.09495620326827,0.803207501447999,1.37048330248469,1.29377694133598,0.967352430381546,1.5805594070169,1.51317328390847,1.14073362544871,1.8233490769002
GA,2020-06-16,1.32262797379528,0.968005714265172,1.6600972158761,1.50448433447672,1.13369042991328,1.81710925625332,1.69621696813388,1.30913657412399,1.99368067394036
GA,2020-06-17,1.2002321620762,0.880733533583904,1.49291476483096,1.38786625907218,1.04171344804383,1.67327057974611,1.58805749899562,1.21666706965386,1.87520475221709
GA,2020-06-18,0.771327249228432,0.551183218326334,1.00059290741057,0.970293242885054,0.698763856717166,1.24273775463853,1.20220945493381,0.850724583470546,1.53068115117569
GA,2020-06-19,1.05995636357018,0.781831983847231,1.30883163976304,1.25398231174164,0.944029038436776,1.50290743499198,1.46362966352553,1.11830130257711,1.71719051178113
GA,2020-06-20,1.03608863471145,0.763889620114099,1.27503588032099,1.22905572521944,0.924286953659264,1.46631428551395,1.43664550352391,1.10251818000838,1.6838301715952
GA,2020-06-21,1.10254810590609,0.813277238325242,1.35055815213489,1.2909542763132,0.981605132378672,1.51790105892666,1.48862302543988,1.15526220406248,1.71246652249598
GA,2020-06-22,1.07636578276388,0.796996292189115,1.30742133578256,1.26336941467486,0.961237212450455,1.48266330028918,1.45820748068196,1.13130765465408,1.67697660810448
GA,2020-06-23,1.08225145377899,0.802780368445503,1.31052002648236,1.26671778146621,0.966488361114083,1.477305201478,1.45602919374923,1.1350190328318,1.66217100659533
GA,2020-06-24,1.30689624367501,0.967318561147448,1.59280303440245,1.47161973412573,1.13175386117421,1.70303880558316,1.6281972151731,1.30175207438358,1.83009239579693
GA,2020-06-25,1.18546013082907,0.880129782146728,1.43393940941419,1.35577154647922,1.04076074088393,1.56743538386811,1.51939329086544,1.20575752100891,1.7149642703606
GA,2020-06-26,0.761518637864393,0.550579576500271,0.96370922997229,0.946509821188534,0.697034167587133,1.17043699648826,1.14594091281328,0.841306931921864,1.39953315262177
GA,2020-06-27,1.04622077443485,0.781386569042608,1.2468528922127,1.2223429299461,0.94279054827291,1.40140157687196,1.39241653808467,1.10164236643989,1.57520517249232
GA,2020-06-28,1.02231104526298,0.763457136351039,1.21325020342276,1.19664995866074,0.922037229541947,1.36955362329465,1.36254588800041,1.07491857129743,1.54453640015613
