model_team,pointNA,target_end_date
CU.70contact,1579,2020-06-06
CU.nointerv,3565,2020-06-06
CU.80contactw10p,2186,2020-06-06
Covid19Sim.Simulator,2159.2355044054,2020-06-07
SWC.TerminusCM,2210,2020-06-07
CU.80contactw10p,2210,2020-06-07
CU.80contact,2322,2020-06-07
PSI.DRAFT,2099.5,2020-06-08
USACE.ERDC_SEIR,1962.59151138231,2020-06-08
Auquan.SEIR,2303,2020-06-08
CU.80contact1x10p,2207,2020-06-08
CU.80contact1x5p,2206,2020-06-08
CU.80contactw5p,2206,2020-06-08
CU.nochange,2206,2020-06-08
CU.select,2206,2020-06-08
Covid19Sim.Simulator,2170.2556256361,2020-06-08
CovidActNow.SEIR_CAN,,2020-06-08
Geneva.DeterministicGrowth,2210,2020-06-08
IowaStateLW.STEM,2218,2020-06-08
JHU_IDD.CovidSP,2213.24666666667,2020-06-08
SWC.TerminusCM,2231,2020-06-08
UA.EpiCovDA,2210,2020-06-08
UCLA.SuEIR,2203.0999178303,2020-06-08
CU.80contactw10p,2235,2020-06-08
CU.80contact,2357,2020-06-08
LANL.GrowthRate,2229.77151079456,2020-06-09
MIT_CovidAnalytics.DELPHI,2218,2020-06-09
MOBS_NEU.GLEAM_COVID,2239.17529719527,2020-06-09
PSI.DRAFT,2128,2020-06-09
USACE.ERDC_SEIR,1982.10029843426,2020-06-09
UT.Mobility,2201.62836873322,2020-06-09
CU.80contactw10p,2258,2020-06-09
Auquan.SEIR,2417,2020-06-09
CU.80contact1x10p,2221,2020-06-09
CU.80contact1x5p,2219,2020-06-09
CU.80contactw5p,2219,2020-06-09
CU.nochange,2219,2020-06-09
CU.select,2219,2020-06-09
Covid19Sim.Simulator,2181.27951902624,2020-06-09
CovidActNow.SEIR_CAN,,2020-06-09
Geneva.DeterministicGrowth,2225,2020-06-09
IowaStateLW.STEM,2250,2020-06-09
JHU_IDD.CovidSP,2246.76666666667,2020-06-09
SWC.TerminusCM,2254,2020-06-09
UA.EpiCovDA,2237,2020-06-09
UCLA.SuEIR,2225.63446615483,2020-06-09
CU.80contact,2379,2020-06-09
CU.80contactw10p,2284,2020-06-10
LANL.GrowthRate,2254.39084105979,2020-06-10
MIT_CovidAnalytics.DELPHI,2236,2020-06-10
MOBS_NEU.GLEAM_COVID,2258.7886103027,2020-06-10
PSI.DRAFT,2149.5,2020-06-10
USACE.ERDC_SEIR,2001.29932140747,2020-06-10
UT.Mobility,2221.9114710849,2020-06-10
Auquan.SEIR,2524,2020-06-10
CU.80contact1x10p,2233,2020-06-10
CU.80contact1x5p,2233,2020-06-10
CU.80contactw5p,2235,2020-06-10
CU.nochange,2234,2020-06-10
CU.select,2233,2020-06-10
Covid19Sim.Simulator,2192.10137870672,2020-06-10
CovidActNow.SEIR_CAN,,2020-06-10
Geneva.DeterministicGrowth,2240,2020-06-10
IowaStateLW.STEM,2279,2020-06-10
JHU_IDD.CovidSP,2281.32333333333,2020-06-10
SWC.TerminusCM,2280,2020-06-10
UA.EpiCovDA,2261,2020-06-10
UCLA.SuEIR,2247.60917862938,2020-06-10
CU.80contact,2409,2020-06-10
YYG.ParamSearch,2339.26990385373,2020-06-11
CU.80contactw10p,2314,2020-06-11
LANL.GrowthRate,2277.79848632177,2020-06-11
MIT_CovidAnalytics.DELPHI,2253,2020-06-11
MOBS_NEU.GLEAM_COVID,2277.98686693784,2020-06-11
