cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
757.22,27.41,32.83,13094.11,70.74,448.16,91.34,11,1,94.46,85.17,11.19,231.36,490.11,289.18,1,,1254.83,541.01,197.38,10095.14,226.03,34.47,16.43,16.08,30,0,2835.42,1,16773.9,389.19,,2020-04-28,0-1
791.36,30.03,31.37,13397.22,85.7,402.61,88.13,11,1,89.66,87.6,10.25,234.09,476.86,317.84,1,,1205.26,546.97,208.56,10204.18,220.14,33.43,15.9,14.39,30,0,2739.69,1,17307.51,405.45,,2020-04-29,0-1
824.44,31.52,30.18,13731.57,102.47,364.75,85.55,11,1,85.06,89.38,9.3,243.35,463.52,351.43,1,,1163.61,552.87,219.65,10329.16,214.1,32.37,15.4,13.03,30,0,2697.03,1,17846.98,421.2,,2020-04-30,0-1
856.47,33.72,29.28,14101.27,120.07,334.65,83.76,11,1,77.33,95.77,8.46,258.88,450.76,387.79,1,,1130.9,558.7,230.62,10474.12,208.17,31.34,14.92,11.99,30,0,2678.98,1,18392.26,436.46,,2020-05-01,0-1
887.49,36.85,28.72,14504.59,138.06,312.05,82.86,11,1,70.51,104.18,7.74,280.36,439.22,418.73,1,,1108.78,564.47,241.49,10642.22,202.6,30.37,14.51,11.25,30,0,2673.07,1,18943.28,451.29,,2020-05-02,0-1
917.59,40.69,28.52,14936.66,156.26,296.53,82.97,11,1,64.68,114.37,7.15,307.5,429.53,444.81,1,,1098.11,570.17,252.25,10835.95,197.62,29.5,14.16,10.8,30,0,2681.93,1,19499.98,465.74,,2020-05-03,0-1
946.89,45.07,28.68,15392.99,174.74,287.52,84.16,11,1,59.83,126.39,6.68,340.18,426.4,466.72,1,,1099.45,587.23,262.95,11057.65,193.47,28.76,13.89,10.61,30,0,2707.9,1,20062.3,479.91,,2020-05-04,0-1
975.55,49.91,29.22,15869.01,193.62,284.46,86.49,11,1,55.95,140.01,6.33,378.49,427.83,485.14,1,,1113.23,593.37,273.6,11309.43,190.32,28.18,13.73,10.64,30,0,2753.19,1,20630.18,493.88,,2020-05-05,0-1
1003.75,55.13,30.13,16363.21,213.1,286.75,90.02,11,1,53.03,155.3,6.09,422.54,430.25,502.85,1,,1139.66,598.94,284.26,11593.55,188.33,27.79,13.67,10.89,30,0,2820.06,1,21203.55,507.76,,2020-05-06,0-1
1031.69,60.72,31.42,16873.8,233.4,293.87,94.82,11,1,51.02,172.22,5.96,472.57,433.99,518.38,1,,1179.05,604.44,294.97,11912.45,187.65,27.62,13.73,11.31,30,0,2910.73,1,21782.37,521.66,,2020-05-07,0-1
1059.61,66.67,33.09,17399,254.72,305.38,100.95,11,1,49.86,191.06,5.92,529.13,439.39,531.7,1,,1231.78,609.89,305.82,12268.88,188.4,27.67,13.9,11.9,30,0,3027.59,1,22366.58,535.71,,2020-05-08,0-1
1087.75,73,35.16,17937.37,277.26,320.9,108.47,11,1,49.5,211.99,5.98,592.57,446.8,545.12,1,,1298.4,615.27,316.85,12665.99,190.69,27.98,14.21,12.64,30,0,3224.75,1,22956.1,550.03,,2020-05-09,0-1
1116.39,79.75,37.65,18489.82,301.23,340.15,117.48,11,1,49.89,235.2,6.13,663.45,457.09,560.56,1,,1379.6,629.11,328.15,13107.36,194.64,28.57,14.65,13.52,30,0,3473.4,1,23560.27,564.77,,2020-05-10,0-1
1145.82,86.94,40.57,19058.86,326.82,362.9,128.09,11,1,50.98,261.11,6.35,743.79,479.86,577.7,1,,1476.25,716.44,339.79,13597.06,200.37,29.45,15.24,14.53,30,0,3768.58,1,24230.86,580.07,,2020-05-11,0-1
1176.36,94.62,43.96,19645.29,354.23,389.03,140.46,11,1,52.73,290,6.65,834.79,508.6,594.91,1,,1589.52,812.97,351.87,14139.67,207.98,30.65,15.97,15.66,30,0,4115.06,1,24994.27,596.09,,2020-05-12,0-1
1208.34,102.84,47.86,20248.45,383.64,418.46,154.76,11,1,55.1,322.16,7.02,936.37,543.83,611.56,1,,1720.71,918.94,364.48,14639.25,217.63,32.19,16.88,16.92,30,0,4517.55,1,25859.46,612.98,,2020-05-13,0-1
