date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-06-01,7,1610,2,45,1,118,1.22,0.54,2,10236,565,720933,363,467,53723,02000,2000
2020-06-02,7,1610,2,45,1,118,1.24,0.52,3,10388,598,720759,384,487,55716,02000,2000
2020-06-03,7,1610,2,45,1,118,1.24,0.52,3,10550,634,720575,407,505,57677,02000,2000
2020-06-04,7,1610,2,45,1,118,1.24,0.52,3,10721,672,720379,431,513,59584,02000,2000
2020-06-05,8,1610,2,45,1,118,1.26,0.48,4,10902,711,720172,457,524,60466,02000,2000
2020-06-06,8,1610,2,45,1,118,1.28,0.48,4,11094,754,719953,484,536,63365,02000,2000
2020-06-07,9,1610,3,45,2,118,,,4,11298,798,719721,512,544,64360,02000,2000
2020-06-08,9,1610,3,45,2,118,1.26,0.46,5,11514,846,719474,543,563,65349,02000,2000
2020-06-09,10,1610,3,45,2,118,1.22,0.46,5,11743,896,719214,575,573,66317,02000,2000
2020-06-10,10,1610,3,45,2,118,1.2,0.46,6,11985,949,718938,609,593,67127,02000,2000
2020-06-11,11,1610,3,45,2,118,1.2,0.44,6,12241,1005,718646,645,611,68400,02000,2000
2020-06-12,12,1610,3,45,2,118,1.18,0.46,7,12513,1065,718336,683,625,70255,02000,2000
2020-06-13,12,1610,4,45,2,118,1.18,0.44,7,12797,1127,718013,722,654,71149,02000,2000
2020-06-14,13,1610,4,45,2,118,1.16,0.44,8,13103,1194,717663,765,661,72806,02000,2000
2020-06-15,14,1610,4,45,3,118,1.16,0.42,9,13426,1264,717295,810,664,73773,02000,2000
2020-06-16,15,1610,4,45,3,118,1.14,0.42,9,13766,1338,716908,857,676,75539,02000,2000
2020-06-17,16,1610,5,45,3,118,1.12,0.44,10,14126,1416,716499,907,696,77013,02000,2000
2020-06-18,17,1610,5,45,3,118,1.12,0.42,11,14507,1499,716065,959,708,80477,02000,2000
2020-06-19,18,1610,5,45,3,118,,,12,14909,1587,715608,1014,722,82909,02000,2000
2020-06-20,19,1610,6,45,4,118,,,12,15334,1678,715130,1068,,,02000,2000
2020-06-21,20,1610,6,45,4,118,,,13,15779,1771,714638,1115,,,02000,2000
2020-06-22,21,1610,6,45,4,118,,,14,16242,1863,714133,1156,,,02000,2000
2020-06-23,22,1610,7,45,4,118,,,15,16721,1952,713618,1192,,,02000,2000
2020-06-24,23,1610,7,45,4,118,,,16,17214,2037,713095,1223,,,02000,2000
2020-06-25,24,1610,8,45,5,118,,,17,17718,2117,712566,1248,,,02000,2000
2020-06-26,26,1610,8,45,5,118,,,18,18231,2190,712034,1267,,,02000,2000
2020-06-27,27,1610,8,45,5,118,,,20,18750,2255,711502,1280,,,02000,2000
2020-06-28,28,1610,9,45,6,118,,,21,19273,2312,710972,1286,,,02000,2000
2020-06-29,29,1610,9,45,6,118,,,22,19797,2359,710449,1285,,,02000,2000
2020-06-30,30,1610,10,45,6,118,,,23,20320,2396,709934,1278,,,02000,2000
2020-07-01,31,1610,10,45,6,118,,,25,20837,2422,709431,1264,,,02000,2000
2020-07-02,32,1610,10,45,6,118,,,26,21348,2438,708941,1242,,,02000,2000
2020-07-03,33,1610,11,45,7,118,,,28,21850,2440,708466,1215,,,02000,2000
2020-07-04,34,1610,11,45,7,118,,,29,22340,2433,708002,1189,,,02000,2000
2020-07-05,34,1610,11,45,7,118,,,31,22821,2419,707540,1170,,,02000,2000
2020-07-06,35,1610,11,45,7,118,,,32,23295,2400,707082,1155,,,02000,2000
2020-07-07,35,1610,11,45,7,118,,,34,23763,2380,706627,1141,,,02000,2000
2020-07-08,36,1610,11,45,7,118,,,36,24226,2359,706176,1129,,,02000,2000
2020-07-09,36,1610,12,45,7,118,,,37,24684,2337,705730,1117,,,02000,2000
2020-07-10,36,1610,12,45,7,118,,,39,25138,2315,705288,1106,,,02000,2000
2020-07-11,36,1610,12,45,7,118,,,41,25586,2293,704851,1094,,,02000,2000
2020-07-12,36,1610,12,45,7,118,,,42,26031,2271,704417,1083,,,02000,2000
2020-07-13,36,1610,12,45,7,118,,,44,26470,2249,703989,1072,,,02000,2000
2020-07-14,36,1610,12,45,7,118,,,45,26906,2227,703564,1062,,,02000,2000
2020-07-15,36,1610,12,45,7,118,,,47,27336,2205,703144,1051,,,02000,2000
2020-07-16,36,1610,12,45,7,118,,,49,27763,2183,702729,1040,,,02000,2000
2020-07-17,36,1610,12,45,7,118,,,50,28185,2161,702318,1029,,,02000,2000
2020-07-18,35,1610,12,45,7,118,,,52,28602,2139,701911,1018,,,02000,2000
2020-07-19,35,1610,11,45,7,118,,,54,29016,2118,701508,1008,,,02000,2000
2020-07-20,35,1610,11,45,7,118,,,55,29424,2096,701110,997,,,02000,2000
2020-07-21,35,1610,11,45,7,118,,,57,29829,2074,700716,987,,,02000,2000
2020-07-22,34,1610,11,45,7,118,,,59,30229,2053,700326,976,,,02000,2000
2020-07-23,34,1610,11,45,7,118,,,60,30625,2032,699941,966,,,02000,2000
2020-07-24,34,1610,11,45,7,118,,,62,31017,2010,699559,955,,,02000,2000
2020-07-25,34,1610,11,45,7,118,,,63,31405,1989,699182,945,,,02000,2000
2020-07-26,33,1610,11,45,7,118,,,65,31788,1968,698809,934,,,02000,2000
2020-07-27,33,1610,11,45,7,118,,,66,32167,1947,698441,924,,,02000,2000
2020-07-28,33,1610,11,45,7,118,,,68,32542,1926,698076,914,,,02000,2000
2020-07-29,32,1610,11,45,7,118,,,70,32912,1905,697716,903,,,02000,2000
2020-07-30,32,1610,10,45,7,118,,,71,33279,1885,697359,893,,,02000,2000
2020-07-31,32,1610,10,45,7,118,,,73,33641,1864,697007,883,,,02000,2000
2020-08-01,31,1610,10,45,7,118,,,74,34000,1844,696659,873,,,02000,2000
2020-08-02,31,1610,10,45,7,118,,,76,34354,1823,696314,863,,,02000,2000
2020-08-03,31,1610,10,45,7,118,,,77,34704,1803,695974,853,,,02000,2000
2020-08-04,30,1610,10,45,6,118,,,78,35050,1783,695638,844,,,02000,2000
2020-08-05,30,1610,10,45,6,118,,,80,35392,1763,695305,834,,,02000,2000
2020-08-06,30,1610,10,45,6,118,,,81,35731,1743,694977,824,,,02000,2000
2020-08-07,29,1610,10,45,6,118,,,83,36065,1723,694652,815,,,02000,2000
2020-08-08,29,1610,9,45,6,118,,,84,36395,1703,694331,805,,,02000,2000
2020-08-09,29,1610,9,45,6,118,,,85,36722,1683,694014,796,,,02000,2000
2020-08-10,28,1610,9,45,6,118,,,87,37044,1664,693701,786,,,02000,2000
2020-08-11,28,1610,9,45,6,118,,,88,37363,1645,693391,777,,,02000,2000
2020-08-12,28,1610,9,45,6,118,,,89,37678,1626,693086,767,,,02000,2000
2020-08-13,27,1610,9,45,6,118,,,91,37990,1607,692784,758,,,02000,2000
2020-08-14,27,1610,9,45,6,118,,,92,38297,1588,692485,749,,,02000,2000
2020-08-15,27,1610,9,45,6,118,,,93,38601,1569,692191,740,,,02000,2000
2020-08-16,26,1610,9,45,6,118,,,95,38901,1550,691900,731,,,02000,2000
2020-08-17,26,1610,8,45,6,118,,,96,39198,1532,691612,722,,,02000,2000
2020-08-18,26,1610,8,45,6,118,,,97,39491,1513,691328,713,,,02000,2000
2020-08-19,26,1610,8,45,5,118,,,98,39780,1495,691047,704,,,02000,2000
2020-08-20,25,1610,8,45,5,118,,,100,40066,1477,690770,696,,,02000,2000
2020-08-21,25,1610,8,45,5,118,,,101,40348,1459,690497,687,,,02000,2000
2020-08-22,25,1610,8,45,5,118,,,102,40627,1441,690226,678,,,02000,2000
2020-08-23,24,1610,8,45,5,118,,,103,40902,1424,689959,670,,,02000,2000
2020-08-24,24,1610,8,45,5,118,,,104,41174,1406,689696,661,,,02000,2000
2020-08-25,24,1610,8,45,5,118,,,105,41443,1389,689435,653,,,02000,2000
2020-08-26,23,1610,7,45,5,118,,,107,41708,1372,689178,645,,,02000,2000
2020-08-27,23,1610,7,45,5,118,,,108,41970,1355,688925,637,,,02000,2000
2020-08-28,23,1610,7,45,5,118,,,109,42228,1338,688675,629,,,02000,2000
2020-08-29,23,1610,7,45,5,118,,,110,42483,1321,688428,621,,,02000,2000
2020-08-30,22,1610,7,45,5,118,,,111,42735,1304,688184,613,,,02000,2000
2020-08-31,22,1610,7,45,5,118,,,112,42984,1288,687943,605,,,02000,2000
2020-09-01,22,1610,7,45,5,118,,,113,43230,1271,687705,597,,,02000,2000
2020-09-02,21,1610,7,45,5,118,,,114,43472,1255,687470,589,,,02000,2000
2020-09-03,21,1610,7,45,4,118,,,115,43711,1239,687239,581,,,02000,2000
