date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-03-07,0,1610,0,45,0,118,,,0,0,12,731518,14,0,12,02000,2000
2020-03-08,0,1610,0,45,0,118,,,0,6,15,731508,17,0,14,02000,2000
2020-03-09,0,1610,0,45,0,118,,,0,14,20,731496,21,0,23,02000,2000
2020-03-10,0,1610,0,45,0,118,,,0,24,25,731480,27,0,23,02000,2000
2020-03-11,0,1610,0,45,0,118,,,0,37,32,731461,34,0,46,02000,2000
2020-03-12,0,1610,0,45,0,118,,,0,53,40,731435,44,0,46,02000,2000
2020-03-13,0,1610,0,45,0,118,1.5,4,0,73,51,731403,55,1,59,02000,2000
2020-03-14,0,1610,0,45,0,118,1.48,3.32,0,99,65,731363,70,1,143,02000,2000
2020-03-15,0,1610,0,45,0,118,1.74,3.2,0,131,82,731312,89,1,143,02000,2000
2020-03-16,0,1610,0,45,0,118,1.66,2.64,0,172,104,731247,113,1,143,02000,2000
2020-03-17,0,1610,0,45,0,118,1.84,2.38,0,224,132,731165,143,3,334,02000,2000
2020-03-18,0,1610,0,45,0,118,1.72,2.06,0,290,168,731061,181,6,406,02000,2000
2020-03-19,1,1610,0,45,0,118,1.84,1.84,0,373,212,730934,225,6,432,02000,2000
2020-03-20,1,1610,0,45,0,118,1.88,1.66,0,475,265,730783,274,12,686,02000,2000
2020-03-21,1,1610,0,45,0,118,1.9,1.48,0,597,327,730607,327,14,758,02000,2000
2020-03-22,2,1610,0,45,0,118,1.88,1.34,0,742,398,730405,384,22,946,02000,2000
2020-03-23,3,1610,0,45,0,118,1.86,1.2,0,911,477,730178,443,22,946,02000,2000
2020-03-24,3,1610,1,45,0,118,1.74,1.1,0,1104,564,729927,501,36,986,02000,2000
2020-03-25,4,1610,1,45,0,118,1.72,1.02,0,1319,654,729657,555,42,1649,02000,2000
2020-03-26,5,1610,1,45,1,118,1.7,0.96,0,1556,748,729372,604,59,1801,02000,2000
2020-03-27,6,1610,2,45,1,118,1.62,0.9,0,1810,840,729079,642,69,2319,02000,2000
2020-03-28,7,1610,2,45,1,118,1.6,0.84,0,2078,927,728787,667,85,2836,02000,2000
2020-03-29,8,1610,2,45,1,118,1.54,0.8,0,2352,1004,728504,675,102,3232,02000,2000
