date,Rt
2020-03-22,0.790918896121673
2020-03-23,0.791187181309614
2020-03-24,0.791466325608882
2020-03-25,0.791759790195483
2020-03-26,0.792063141149865
2020-03-27,0.792370573589589
2020-03-28,0.792689613227921
2020-03-29,0.793017237822806
2020-03-30,0.793357229834499
2020-03-31,0.793704702504764
2020-04-01,0.79406098633018
2020-04-02,0.794423545976926
2020-04-03,0.794796736387488
2020-04-04,0.795178309734039
2020-04-05,0.795563842518434
2020-04-06,0.79595745501382
2020-04-07,0.796355178159079
2020-04-08,0.796759473573842
2020-04-09,0.797171820255689
2020-04-10,0.797589170083366
2020-04-11,0.798012581981611
2020-04-12,0.798443326631681
2020-04-13,0.798879407859828
2020-04-14,0.799319676720165
2020-04-15,0.799767990329639
2020-04-16,0.800219554216827
2020-04-17,0.800703581044346
2020-04-18,0.801189415700877
2020-04-19,0.801674194503104
2020-04-20,0.802164241387095
2020-04-21,0.802659817805706
2020-04-22,0.803160471341881
2020-04-23,0.803661584515777
2020-04-24,0.8041701989941
2020-04-25,0.804682461105523
2020-04-26,0.805199872196805
2020-04-27,0.805726378501563
2020-04-28,0.806257319948561
2020-04-29,0.806796330246918
2020-04-30,0.807342959316877
2020-05-01,0.807896683368044
2020-05-02,0.808457279830402
2020-05-03,0.809028403598227
2020-05-04,0.809597050990892
2020-05-05,0.810167140206078
2020-05-06,0.810735531260736
2020-05-07,0.811304986024066
2020-05-08,0.811869054016379
2020-05-09,0.812425156394321
2020-05-10,0.81297852642467
2020-05-11,0.8135263578392
2020-05-12,0.814066480495767
2020-05-13,0.814595512960498
2020-05-14,0.815111150598668
2020-05-15,0.815619690315907
2020-05-16,0.816119640061399
2020-05-17,0.816607181841322
2020-05-18,0.817082610303242
2020-05-19,0.817543002781728
2020-05-20,0.817992782475679
2020-05-21,0.818433208577797
2020-05-22,0.818864505496891
2020-05-23,0.819281922228392
2020-05-24,0.819688336868833
2020-05-25,0.820089412759863
2020-05-26,0.820480015550002
2020-05-27,0.820863116684392
2020-05-28,0.82123984729503
2020-05-29,0.821611427271648
2020-05-30,0.821980954116231
2020-05-31,0.822347044979803
2020-06-01,0.822708651308639
2020-06-02,0.823069698512857
2020-06-03,0.823429770794508
2020-06-04,0.823786203786197
2020-06-05,0.824143509352696
2020-06-06,0.824501124114051
2020-06-07,0.824855564060674
2020-06-08,0.825216197510375
2020-06-09,0.825578074992293
2020-06-10,0.825942208312627
2020-06-11,0.826306346272414
2020-06-12,0.826668790433201
2020-06-13,0.827025015901656
2020-06-14,0.827378968352689
2020-06-15,0.827726744178829
2020-06-16,0.828063731401934
2020-06-17,0.828390159532413
2020-06-18,0.828703003831752
2020-06-19,0.82900097660635
2020-06-20,0.829281278219204
2020-06-21,0.829543206240057
2020-06-22,0.829784520796749
2020-06-23,0.830016162273326
2020-06-24,0.830230224449905
2020-06-25,0.830424604733075
2020-06-26,0.830600520766675
2020-06-27,0.830757914686731
2020-06-28,0.830897749078962
2020-06-29,0.831021207781595
2020-06-30,0.831131219969736
2020-07-01,0.831230577759428
2020-07-02,0.831320131637291
2020-07-03,0.831403588335055
2020-07-04,0.83147906866
2020-07-05,0.831551922565388
2020-07-06,0.831619506313454
2020-07-07,0.831684161902866
2020-07-08,0.831749745067613
2020-07-09,0.831818101431306
2020-07-10,0.831884408753432
2020-07-11,0.831946667143215
2020-07-12,0.83201412038658
2020-07-13,0.832081793582198
2020-07-14,0.832150374355147
2020-07-15,0.832221557752752
2020-07-16,0.832296010963457
2020-07-17,0.832370589419094
2020-07-18,0.832444869293667
2020-07-19,0.832520408861961
2020-07-20,0.832598219090667
2020-07-21,0.832678748752227
2020-07-22,0.832760327976202
2020-07-23,0.83284399482213
2020-07-24,0.832928259460674
2020-07-25,0.83301279355553
2020-07-26,0.833094108384097
2020-07-27,0.833173256241244
2020-07-28,0.833245782829894
2020-07-29,0.833314826390998
2020-07-30,0.833381579669802
2020-07-31,0.833444173465736
2020-08-01,0.833503845912958
2020-08-02,0.833559087294732
2020-08-03,0.833609838423057
2020-08-04,0.833656999975248
2020-08-05,0.833705536506795
