state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
AK,2020-04-06,5,29.3921604811189,2.2142978446526,103.053683754758,0,2.93921604811189e-14,2.2142978446526e-15,1.03053683754758e-13,0.708821652401512,0.357897181813532,1.23957343435541,0,0,0
AK,2020-04-07,23,29.3921604811189,2.2142978446526,103.053683754758,0,4.08667513377373e-07,3.08692263948088e-08,1.44181935407917e-06,0.693118627209493,0.348106533570716,1.21756880198525,4.54992939189565,0.342775035277451,15.9527907096214
AK,2020-04-08,13,29.3921604811189,2.2142978446526,103.053683754758,1,8.37768402423615e-06,6.3281914109358e-07,2.9557296758623e-05,0.704449054354098,0.35490101502444,1.23185075969805,21.0831214779105,1.58832524329321,73.9208448029349
AK,2020-04-09,9,29.3921604811189,2.2142978446526,103.053683754758,0,4.82227665785301e-05,3.64256871458744e-06,0.000170134683781342,0.715949923647214,0.361430189080255,1.24966049277795,46.3857730550108,3.49453444785849,162.636046785395
AK,2020-04-10,11,29.3921604811189,2.2142978446526,103.053683754758,0,0.00020699009552564,1.56352631689707e-05,0.000730281502841099,0.711553098656551,0.358599649496907,1.24479712906427,75.6118835807015,5.69632269633338,265.107532453518
AK,2020-04-11,11,29.3921604811189,2.2142978446526,103.053683754758,1,0.000604419252285135,4.56555858379222e-05,0.00213245082468309,0.861600963901273,0.443837940989693,1.48625786587372,105.00404406182,7.91062054098597,368.161216208276
AK,2020-04-12,15,8.38616504319056,0.714799023231444,28.1826947164121,0,0.00136474516092374,0.000103087781545464,0.00481495573294739,0.58907467954134,0.279983790113097,1.07204093631999,132.223579471121,9.9612407608904,463.597323935825
AK,2020-04-13,5,9.95009082594256,1.01148439253067,31.5377609784642,0,0.0026930312984168,0.000203424418929993,0.00950116556762173,0.64132711304943,0.287048619949105,1.22301719161076,152.836807950031,11.5725270454057,534.728580724898
AK,2020-04-14,8,11.187227741376,1.1558993030161,35.3331753951552,1,0.00473171929170477,0.000357483864269047,0.0166915648756468,0.680311535711782,0.309702142562292,1.28471969000133,161.386837018564,12.3584148314971,562.486616091619
AK,2020-04-15,8,12.7675782496896,1.30882239133074,40.1328520007096,0,0.00757172433592888,0.000572465515865825,0.0266991145706508,0.772783397082366,0.358199374703004,1.4298778142198,160.85601449392,12.6247375550822,555.860798951397
AK,2020-04-16,7,11.7510059361881,1.20592832564979,36.9629949961228,0,0.0112718100630668,0.000853992515255606,0.0397029908125875,0.730363244106105,0.335331789125509,1.36069178139326,155.45109916413,12.4598701309769,530.33408913623
AK,2020-04-17,9,10.9831184194378,1.14219282092133,34.3559324292732,0,0.0158282725634513,0.00120583318179712,0.0557243110528484,0.708479830858903,0.323494326108685,1.32253095915008,148.172066960785,12.4233439989055,499.118231542392
AK,2020-04-18,5,12.4738335930322,1.26572185361095,39.3604593039573,0,0.0210647598238702,0.00162116619918153,0.074077094139524,0.83752920865986,0.388599752715186,1.53872770607358,140.220560042371,12.1756516310615,465.883680657764
AK,2020-04-19,5,12.0979932795024,1.19346188271832,37.8623168089776,0,0.0268552193801278,0.00209298828818868,0.0942696184910642,0.847786077604104,0.393802609027801,1.56279347267393,132.496129536489,11.832507977647,434.258543608535
AK,2020-04-20,2,9.54929689938703,1.0710405295091,28.5191934547267,0,0.0330353241410793,0.0025955086447202,0.115396926124872,0.718169351253295,0.310829567492938,1.35179277973879,125.876290991515,11.8579157675657,405.823890831021
AK,2020-04-21,8,8.86985085610422,1.0007667076601,26.4871312202636,0,0.0393221449092107,0.00309163319382463,0.137077395396378,0.692315594411036,0.299532950242492,1.31419097524202,120.029545017472,11.5957539122644,382.184019078034
AK,2020-04-22,6,8.87358400796423,1.01693191871987,26.5156906644896,0,0.0457093742096176,0.00361247560862006,0.158549637703002,0.71958418276294,0.312319499742042,1.3533565877433,114.120457981204,11.4751264873538,358.012215831036
AK,2020-04-23,2,8.38025645925728,0.948819144895021,25.3283967811431,0,0.0518522416251195,0.00411750392019613,0.178731152204143,0.707982790039849,0.306233771049094,1.33349795410925,108.114197887058,11.0966001216964,337.907023194662
AK,2020-04-24,2,8.17093113519647,0.910309341530507,25.0046957234341,0,0.0577369026408556,0.0046834247702513,0.199024628366004,0.719566749389948,0.312314410310886,1.35333505327308,102.271367835969,10.6970985863818,317.06628177504
AK,2020-04-25,0,9.79407733643993,1.0680495630613,30.9581658083336,0,0.063165282545853,0.00515263922570179,0.216053424866385,0.898990151577837,0.396817137998037,1.65526521597475,96.7209573194632,10.2674083367036,296.770404919115
AK,2020-04-26,1,10.0898716001803,1.07732292843586,32.6567293139328,0,0.0679857791446835,0.00558412261102495,0.231687739080976,0.961116246804983,0.42590375954602,1.75519851790387,91.8709822970915,10.1521967343136,278.105837065724
AK,2020-04-27,5,8.15483906859034,0.898006647968186,24.32590627111,0,0.0722517713161803,0.00608737000478175,0.244945987387155,0.828618747824482,0.377087118357308,1.50088191176615,88.3262122198211,9.94973547512003,264.118326995674
AK,2020-04-28,6,8.32882217973332,0.906096656101166,25.1472411303886,0,0.0758164964082178,0.00641018093349083,0.255259308502062,0.862808247028194,0.395758357915799,1.54257827903104,85.7518211983781,9.85492599178414,253.827867403264
AK,2020-04-29,4,8.26413816862299,0.866358444968143,25.1522687073163,0,0.0787412288056618,0.00669520065464509,0.261772795515772,0.870996313796587,0.398959768556796,1.56517855995993,83.3798079394953,9.73578330272719,249.182844699881
AK,2020-04-30,0,7.82511402929178,0.787764710674017,24.0297690539467,0,0.08097731513812,0.00722991425835626,0.265603388227523,0.836922167618584,0.382392940344645,1.50784126675265,81.1468156708436,9.65066418772235,241.125402631016
AK,2020-05-01,9,8.27383135843777,0.802318818214467,25.9728927917079,0,0.0825388543671403,0.00755931440013582,0.267335934870971,0.897277935383265,0.413480401657049,1.60477177768758,79.025060297053,9.35946112061113,235.404338857316
AK,2020-05-02,1,9.91797116116366,0.914859934872944,31.605457034794,0,0.0837270970252459,0.00789384030068991,0.271579918399807,1.0903264096985,0.510631967879279,1.91568122494971,77.0260076237969,9.23403885346652,227.770374908367
AK,2020-05-03,3,9.92147859776195,0.878612270681799,32.2768397527446,0,0.0842948709158722,0.00800986977299279,0.273652447397288,1.09662515365407,0.513409969948899,1.92967724728565,75.5936485810597,8.92039448192176,223.816403009931
AK,2020-05-04,2,8.58098430623851,0.694860177648036,28.8691553974538,0,0.0844367788852556,0.00822816046339155,0.272007573826268,0.938896809478685,0.431788633265537,1.67335099894594,75.1684676428179,8.61549970928323,223.957530791682
AK,2020-05-05,1,9.42411137781674,0.723125508634182,32.8724688270211,0,0.0841386698100176,0.00848316421130421,0.266042910473006,1.01527270441185,0.466672920577517,1.80574911828521,75.327979316483,8.24029677391239,227.059737313302
AK,2020-05-06,1,9.364916899039,0.658922689595904,33.8209008603516,1,0.0836297772868657,0.00863091768109651,0.26319033468947,0.991813040709462,0.457172671402886,1.76725849627909,75.5411464038586,8.09675517301085,228.955104154763
AK,2020-05-07,2,8.96873330692078,0.583873043270729,33.7346462404475,0,0.0828422699296275,0.00861453339166938,0.256130734814757,0.931493123854181,0.428672728112457,1.66300684273178,75.8973042754744,8.00650979709055,232.764717272991
AK,2020-05-08,3,9.20924904395213,0.549449785760578,35.6011499974504,0,0.0817818295781204,0.00876929467669195,0.248604555510793,0.938843440322163,0.431786780697578,1.67310629755448,76.2733716195359,7.74677375137716,237.986328707859
AK,2020-05-09,1,12.7922247732825,0.724485494079385,50.4074972869889,0,0.0805599001200725,0.00883592073934582,0.24234297734406,1.29118158302998,0.609649261981366,2.23950135443871,76.5422118865815,7.43068537429671,245.156120360179
AK,2020-05-10,1,14.5044751594424,0.768597261415287,58.7506516095363,0,0.0792432975662763,0.00890393372434517,0.234182560738442,1.43466178030869,0.679091698051073,2.46917979763859,77.3203534961304,6.91643481415233,254.686352317313
AK,2020-05-11,0,10.3432441230348,0.488332156622626,44.3149077366797,0,0.0780079410107891,0.00885815982098599,0.227750612326045,0.966813785599102,0.445326490445856,1.7151406719868,79.795233713571,6.63143432226902,269.270440633018
AK,2020-05-12,4,11.3044956403954,0.478065910474339,49.9482448393675,0,0.0766687574921548,0.00894448539593899,0.222092413242478,0.997485036567842,0.45958516026169,1.77477240276041,83.3660862324991,6.48673730019722,293.876542665802
AK,2020-05-13,0,13.0628898316933,0.493701010066834,59.4781375144957,0,0.0754018828504783,0.00890894697821705,0.215699646334643,1.10065969016682,0.510767969166459,1.93580424451077,86.3520275150303,6.20205513333848,316.090748658875
AK,2020-05-14,0,12.7495659122545,0.438767910101773,59.9740643909667,0,0.0741977846596546,0.00911803713955442,0.210841674547881,1.02691199154157,0.473816085782501,1.82785228189013,88.9845228204184,5.97831852744322,335.504591805035
AK,2020-05-15,5,13.6994341952642,0.419611912844502,66.4478653867117,0,0.0731850994744437,0.00920512073667494,0.207418564071433,1.0570687452608,0.489338232548422,1.86866540965923,91.7392119073053,5.62775410131088,360.955624275106
AK,2020-05-16,0,16.8250248562974,0.470961762348026,83.1035425023545,0,0.0722623976720435,0.00907810360754548,0.20469556752775,1.25103710898863,0.58627018951598,2.17878510141331,94.5877662293511,5.36215108808709,381.921568347259
AK,2020-05-17,0,19.9710311724435,0.509031809101442,101.336690151513,0,0.0714867760215094,0.00880354744844115,0.200705807909266,1.42164229477454,0.670843698546919,2.44016679191758,98.0939601095898,5.16640267226188,410.658928760717
AK,2020-05-18,0,15.9914461017226,0.351084260042149,85.1099597642941,0,0.0709341969450082,0.00860561739885353,0.198124738565867,1.05090462529467,0.484082526821422,1.86193093567801,103.341576619267,4.88629596093289,442.59679854323
AK,2020-05-19,12,17.9092806790397,0.344248018644958,97.2376806597905,0,0.070571255750958,0.00869935220465077,0.199718325956589,1.09208228101384,0.506770107326024,1.92543549921304,109.979943343948,4.78348617545227,493.406858668838
AK,2020-05-20,1,20.4971734945431,0.352178552768529,113.280836461413,0,0.070408304741768,0.008567573585037,0.201492091139553,1.16949386506364,0.545295690441574,2.04240779005775,116.326186144949,4.57054489504355,536.137661624758
AK,2020-05-21,0,20.6707233908294,0.309117572913094,117.222265088375,0,0.0704806044287782,0.00828939054124856,0.204933514408416,1.1004003130904,0.510765142229265,1.93428868883781,122.737259826547,4.33098486131623,590.920738158041
AK,2020-05-22,2,21.9240510814128,0.292033153541225,127.050166021044,0,0.0708094512910682,0.00814836195719039,0.212595847774505,1.08982693887368,0.505943901905778,1.91852119434402,129.692200467571,4.14322154923868,639.701334958126
AK,2020-05-23,4,26.834064740401,0.318338869843963,157.602009363309,0,0.0713996865650846,0.00779275209987414,0.218429270335217,1.25774859627271,0.589672346994186,2.18561575063817,136.992634551408,3.86628994742807,697.026547239875
AK,2020-05-24,0,31.0760730871719,0.333942307809902,187.690754354563,0,0.0722869520210937,0.0075555253857797,0.226351713118292,1.36344462366481,0.644444627070909,2.35335764898398,145.217333650926,3.65721440708867,760.491231241309
AK,2020-05-25,1,17.3806701398455,0.147823898066168,109.311905447363,0,0.073491441240251,0.00744616625127991,0.241287227880806,0.679090042704007,0.304353161893328,1.26099160951489,155.792004521277,3.45801262903907,837.758384087325
AK,2020-05-26,2,31.6959977220398,0.251274553649566,194.604037455196,0,0.0750309557964157,0.00719288965859566,0.256342689842792,1.16690113516961,0.544041227810536,2.03259106679734,166.766785580667,3.25415574220315,911.29186093715
AK,2020-05-27,1,34.8737318696171,0.242620540323383,216.781859806839,0,0.0768778589380677,0.0070778246990955,0.273520478208947,1.2092531707865,0.565606395251376,2.10613582114236,175.43221798084,3.04591739450617,981.198836379061
AK,2020-05-28,13,38.1467593466042,0.231249843154052,242.131745560272,0,0.0791063845828869,0.0068596476942368,0.292690216322399,1.23424248896317,0.578041913829519,2.15136715084592,186.023972563147,2.80495485737391,1063.23966420202
AK,2020-05-29,5,39.479859041009,0.201194269286837,254.799526951254,0,0.0816873386768373,0.00656576607156948,0.315250269465067,1.17097455544354,0.546472083950328,2.03885492945502,199.656354445776,2.6541370291555,1177.30362153057
